row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
1.,1.,1.,Thu nhập lãi và các khoản thu nhập tương tự,26,154.992.934,138.283.813,,26.0,154992934.0,138283813.0
2.,2.,2.,Chi phí lãi và các chi phí tương tự,27,(91.697.828),(80.280.835),,27.0,-91697828.0,-80280835.0
I.,I.,I.,Thu nhập lãi thuần,,63.295.106,58.002.978,,,63295106.0,58002978.0
3.,3.,3.,Thu nhập từ hoạt động dịch vụ,28,13.151.480,13.465.588,,28.0,13151480.0,13465588.0
4.,4.,4.,Chi phí hoạt động dịch vụ,28,(6.227.252),(6.388.732),,28.0,-6227252.0,-6388732.0
II.,II.,II.,Lãi thuần từ hoạt động dịch vụ,28,6.924.228,7.076.856,,28.0,6924228.0,7076856.0
III.,III.,III.,Lãi thuần từ hoạt động kinh doanh ngoại hối,29,3.791.593,5.361.499,,29.0,3791593.0,5361499.0
IV.,IV.,IV.,Lãi thuần từ mua bán chứng khoán kinh doanh,30.1,718.634,284.513,,301.0,718634.0,284513.0
V.,V.,V.,Lãi thuần từ mua bán chứng khoán đầu tư,30.2,2.262.126,4.900.330,,302.0,2262126.0,4900330.0
5.,5.,5.,Thu nhập từ hoạt động khác,,16.249.579,9.229.829,,,16249579.0,9229829.0
6.,6.,6.,Chi phí hoạt động khác,,(3.124.506),(4.205.132),,,-3124506.0,-4205132.0
VI.,VI.,VI.,Lãi thuần từ hoạt động khác,31,13.125.073,5.024.697,,31.0,13125073.0,5024697.0
VII.,VII.,VII.,"Thu nhập từ góp vốn, mua cổ phần",32,1.097.172,445.742,,32.0,1097172.0,445742.0
VII.,VII.,VII.,Tổng thu nhập hoạt động,,91.213.932,81.096.615,,,91213932.0,81096615.0
7.,7.,7.,Chi phí nhân viên,,(17.778.083),(15.998.940),,,-17778083.0,-15998940.0
8.,8.,8.,Chi phí khấu hao,,(1.280.491),(1.305.764),,,-1280491.0,-1305764.0
9.,9.,9.,Chi phí hoạt động khác,,(11.369.178),(10.674.800),,,-11369178.0,-10674800.0
VIII.,VIII.,VIII.,Tổng chi phí hoạt động,33,(30.427.752),(27.979.504),,33.0,-30427752.0,-27979504.0
IX.,IX.,IX.,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,60.786.180,53.117.111,,,60786180.0,53117111.0
X.,X.,X.,Chi phí dự phòng rủi ro tín dụng,"9, 13",(22.998.662),(21.040.890),,,-22998662.0,-21040890.0
XI.,XI.,XI.,Tổng lợi nhuận trước thuế,,37.787.518,32.076.221,,,37787518.0,32076221.0
10.,10.,10.,Chi phí thuế TNDN hiện hành,34.1,(7.371.323),(6.402.898),,341.0,-7371323.0,-6402898.0
11.,11.,11.,Thu nhập thuế TNDN hoãn lại,34.2,13.935,3.795,,342.0,13935.0,3795.0
XII.,XII.,XII.,Chi phí thuế TNDN,34,(7.357.388),(6.399.103),,34.0,-7357388.0,-6399103.0
XIII.,XIII.,XIII.,Lợi nhuận sau thuế,,30.430.130,25.677.118,,,30430130.0,25677118.0
XIII.,XIII.,XIII.,Phân bổ (lãi) cho cổ đông không kiểm soát,,(525.866),(465.069),,,-525866.0,-465069.0
XIII.,XIII.,XIII.,Lợi nhuận thuần của Ngân hàng mẹ,,29.904.264,25.212.049,,,29904264.0,25212049.0
XIII.,XIII.,XIII.,Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),35,3.774,3.214,,35.0,3774.0,3214.0
