row_label_raw,row_label_full,col_0,do định giá lại,do định giá lại_1,Đến 1 tháng,Từ 1-3 tháng,Từ 3-6 tháng,Từ 6 -12 tháng,Từ 1-5 năm,Trên 5 năm,Tổng,numeric__do định giá lại,numeric__do định giá lại_1,numeric__Đến 1 tháng,numeric__Từ 1-3 tháng,numeric__Từ 3-6 tháng,numeric__Từ 6 -12 tháng,numeric__Từ 1-5 năm,numeric__Trên 5 năm,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tải sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,13.075.066,-,-,-,-,-,-,13.075.066,,13075066.0,,,,,,,13075066.0
Tiền gửi tại Ngân hàng,Tải sản > Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,-,75.778.275,47.851.558,-,-,-,-,-,123.629.833,,75778275.0,47851558.0,,,,,,123629833.0
Trung ương,Trung ương,Trung ương,Trung ương,Trung ương,Trung ương,Trung ương,Trung ương,Trung ương,Trung ương,Trung ương,Trung ương,,,,,,,,,
Tiền gửi và cho vay các TCTD khác (*),Trung ương > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,3.344.851,400.963.095,11.177.476,40.125.747,1.682.730,122.912,-,457.416.811,,3344851.0,400963095.0,11177476.0,40125747.0,1682730.0,122912.0,,457416811.0
Chứng khoán kinh doanh (*),Trung ương > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,1.624.284,-,1.568.808,-,24.228.393,848.914,1.913.412,30.183.811,,1624284.0,,1568808.0,,24228393.0,848914.0,1913412.0,30183811.0
Cho vay khách hàng và trái phiếu doanh nghiệp chưa niêm yết (*),Trung ương > Cho vay khách hàng và trái phiếu doanh nghiệp chưa niêm yết (*),Cho vay khách hàng và trái phiếu doanh nghiệp chưa niêm yết (*),57.329.214,-,477.955.206,915.180.974,728.540.613,154.472.426,34.670.954,8.271.687,2.376.421.074,57329214.0,,477955206.0,915180974.0,728540613.0,154472426.0,34670954.0,8271687.0,2376421074.0
Chứng khoán đầu tư (không bao gồm trái phiếu doanh nghiệp chưa niêm yết) (*),Trung ương > Chứng khoán đầu tư (không bao gồm trái phiếu doanh nghiệp chưa niêm yết) (*),Chứng khoán đầu tư (không bao gồm trái phiếu doanh nghiệp chưa niêm yết) (*),-,11.633.465,10.812.409,13.743.327,35.423.395,63.065.053,71.000.600,76.367.679,282.045.928,,11633465.0,10812409.0,13743327.0,35423395.0,63065053.0,71000600.0,76367679.0,282045928.0
"Góp vốn, đãu tư đài hạn (*)","Trung ương > Góp vốn, đãu tư đài hạn (*)","Góp vốn, đãu tư đài hạn (*)",-,4.477.847,-,-,-,-,-,-,4.477.847,,4477847.0,,,,,,,4477847.0
Tài sản cố định,Trung ương > Tài sản cố định,Tài sản cố định,-,13.123.069,-,-,-,-,-,-,13.123.069,,13123069.0,,,,,,,13123069.0
Tài sản Có khác (*),Trung ương > Tài sản Có khác (*),Tài sản Có khác (*),208.940,65.645.063,-,-,-,-,-,-,65.854.003,208940.0,65645063.0,,,,,,,65854003.0
Tổng tài sản,Trung ương > Tổng tài sản,Tổng tài sản,57.538.154,188.701.920,937.582.268,941.670.585,804.089.755,243.448.602,106.643.380,86.552.778,3.366.227.442,57538154.0,188701920.0,937582268.0,941670585.0,804089755.0,243448602.0,106643380.0,86552778.0,3366227442.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
"Các khoản nợ Chính phủ và Ngân hàng Trung ương, tiền gửi và vay các TCTD khác","Nợ phải trả > Các khoản nợ Chính phủ và Ngân hàng Trung ương, tiền gửi và vay các TCTD khác","Các khoản nợ Chính phủ và Ngân hàng Trung ương, tiền gửi và vay các TCTD khác",-,2.955.051,522.692.197,98.493.561,3.911.436,8.030.440,249.900,458.141,636.790.726,,2955051.0,522692197.0,98493561.0,3911436.0,8030440.0,249900.0,458141.0,636790726.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,5.993.583,852.237.287,410.167.442,412.874.230,444.377.607,97.291.297,50.182,2.222.991.628,,5993583.0,852237287.0,410167442.0,412874230.0,444377607.0,97291297.0,50182.0,2222991628.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,(46.910),143.137,1.202.877,(14.542),(1.054.005),-,230.557,,,-46910.0,143137.0,1202877.0,-14542.0,-1054005.0,,230557.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,5.418.904,5.344.049,1.117.030,32.455,78.595,52.036,12.043.069,,,5418904.0,5344049.0,1117030.0,32455.0,78595.0,52036.0,12043069.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,7.946.460,22.985.146,105.019.056,61.611.342,17.205.770,10.640.000,225.407.774,,,7946460.0,22985146.0,105019056.0,61611342.0,17205770.0,10640000.0,225407774.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,59.809.064,-,-,-,-,-,-,59.809.064,,59809064.0,,,,,,,59809064.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,68.757.698,1.388.247.938,537.133.335,524.124.629,514.037.302,113.771.557,11.200.359,3.157.272.818,,68757698.0,1388247938.0,537133335.0,524124629.0,514037302.0,113771557.0,11200359.0,3157272818.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,57.538.154,119.944.222,(450.665.670),404.537.250,279.965.126,(270.588.700),(7.128.177),75.352.419,208.954.624,57538154.0,119944222.0,-450665670.0,404537250.0,279965126.0,-270588700.0,-7128177.0,75352419.0,208954624.0
