row_label_raw,row_label_full,Bên liên quan,Số dư,Phải thu,Phải trả,numeric__Số dư,numeric__Phải thu,numeric__Phải trả
,,,,Triệu VND,Triệu VND,,,
Đại diện chủ sở hữu (NHNN),Đại diện chủ sở hữu (NHNN),Đại diện chủ sở hữu (NHNN),Tiền gửi của BIDV tại đại diện chủ sở hữu,117.802.343,-,,117802343.0,
Đại diện chủ sở hữu (NHNN),Đại diện chủ sở hữu (NHNN),Đại diện chủ sở hữu (NHNN),Các khoản vay của BIDV từ đại diện chủ sở hữu,-,75.818.570,,,75818570.0
Bên liên quan của chủ sở hữu (BTC và Kho bạc Nhà nước),Bên liên quan của chủ sở hữu (BTC và Kho bạc Nhà nước),Bên liên quan của chủ sở hữu (BTC và Kho bạc Nhà nước),Tiền gửi của bên liên quan của chủ sở hữu tại BIDV,-,141.706.359,,,141706359.0
Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Tiền gửi tại BIDV của cổ đông chiến lược,-,829.299,,,829299.0
Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Tiền gửi của BIDV tại cổ đông chiến lược,139.874,-,,139874.0,
Các công ty liên doanh,Các công ty liên doanh,Các công ty liên doanh,Tiền gửi của các công ty liên doanh,-,5.919.311,,,5919311.0
Các công ty liên doanh,Các công ty liên doanh,Các công ty liên doanh,Tiền gửi của BIDV tại các công ty liên doanh,2.109.766,-,,2109766.0,
Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Tiền gửi tại BIDV của các công ty liên kết,-,359.755,,,359755.0
"Người quản lý, thành viên Ban kiểm soát","Người quản lý, thành viên Ban kiểm soát","Người quản lý, thành viên Ban kiểm soát","Tiền gửi của người quản lý, thành viên Ban kiểm soát tại BIDV",-,110.237,,,110237.0
"Người quản lý, thành viên Ban kiểm soát","Người quản lý, thành viên Ban kiểm soát","Người quản lý, thành viên Ban kiểm soát","Dư nợ thể tín dụng của quản lý, thành viên Ban Kiểm soát tại BIDV",1.266,-,,1266.0,
