row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ đầu tư phát triển,Quỹ khác thuộc Vốn chủ sở hữu,Vốn khác,Chênh lệch tỷ giá hối doái,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc Vốn chủ sở hữu,numeric__Vốn khác,numeric__Chênh lệch tỷ giá hối doái,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,,
Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),68.975.153,15.361.020,12.595.515,6.453.861,290.036,57.408,452.623,(701.036),36.264.506,5.235.108,144.984.194,68975153.0,15361020.0,12595515.0,6453861.0,290036.0,57408.0,452623.0,-701036.0,36264506.0,5235108.0,144984194.0
- Lợi nhuận trong năm,- Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,-,-,-,-,-,29.904.264,525.866,30.430.130,,,,,,,,,29904264.0,525866.0,30430130.0
- Tăng vốn từ phát hành cổ phiếu riêng lẻ (*),- Tăng vốn từ phát hành cổ phiếu riêng lẻ (*),- Tăng vốn từ phát hành cổ phiếu riêng lẻ (*),1.238.466,3.514.708,-,-,-,-,-,-,-,-,4.753.174,1238466.0,3514708.0,,,,,,,,,4753174.0
- Công ty con tăng vốn điều lệ,- Công ty con tăng vốn điều lệ,- Công ty con tăng vốn điều lệ,-,-,-,-,(222.497) -,,547.461,-,(263.028),(61.936),-,,,,,,,547461.0,,-263028.0,-61936.0,
"- Trích quỹ, tạm trích quỹ","- Trích quỹ, tạm trích quỹ","- Trích quỹ, tạm trích quỹ",-,-,2.557.353,5.127.158,6.836.059,14.424,-,-,(14.534.994),-,-,,,2557353.0,5127158.0,6836059.0,14424.0,,,-14534994.0,,
"- Trích/Tạm trích Quỹ khen thưởng, phúc lợi","- Trích/Tạm trích Quỹ khen thưởng, phúc lợi","- Trích/Tạm trích Quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,-,(3.446.462),(51.972),(3.498.434),,,,,,,,,-3446462.0,-51972.0,-3498434.0
- Trả cổ tức bằng tiền,- Trả cổ tức bằng tiền,- Trả cổ tức bằng tiền,-,-,-,-,-,-,-,-,(3.159.613),(88.607),(3.248.220),,,,,,,,,-3159613.0,-88607.0,-3248220.0
- Chênh lệch tỷ giá,- Chênh lệch tỷ giá,- Chênh lệch tỷ giá,-,-,,1.710,-,(26),-,103.639,12.525,15.715,133.563,,,,1710.0,,-26.0,,103639.0,12525.0,15715.0,133563.0
- Tăng/(Giám) khác,- Tăng/(Giám) khác,- Tăng/(Giám) khác,-,-,(349),(12),-,,-,-,9.087,(10.231),(1.505),,,-349.0,-12.0,,,,,9087.0,-10231.0,-1505.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,70.213.619,18.875.728,15.152.519,11.582.717,6.903.598,71.806,1.000.084,(597.397),44.786.285,5.563.943,173.552.902,70213619.0,18875728.0,15152519.0,11582717.0,6903598.0,71806.0,1000084.0,-597397.0,44786285.0,5563943.0,173552902.0
