row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,Triệu VND,Triệu VND,,
Các khoản phải thu nội bộ,Các khoản phải thu nội bộ,Các khoản phải thu nội bộ,917.127,592.904,917127.0,592904.0
Các khoản phải thu bên ngoài,Các khoản phải thu bên ngoài,Các khoản phải thu bên ngoài,31.151.488,24.152.121,31151488.0,24152121.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Phải thu trung gian thanh toán,Trong đó: > - Phải thu trung gian thanh toán,- Phải thu trung gian thanh toán,2.972.925,1.236.204,2972925.0,1236204.0
"- Ký quỹ, thế chấp, đặt cọc","Trong đó: > - Ký quỹ, thế chấp, đặt cọc","- Ký quỹ, thế chấp, đặt cọc",784.710,588.562,784710.0,588562.0
- Phải thu trong nghiệp vụ tài trợ thường mại,Trong đó: > - Phải thu trong nghiệp vụ tài trợ thường mại,- Phải thu trong nghiệp vụ tài trợ thường mại,24.852.386,19.883.511,24852386.0,19883511.0
- Phải thu từ NHNN về cho vay hỗ trợ lãi suất,Trong đó: > - Phải thu từ NHNN về cho vay hỗ trợ lãi suất,- Phải thu từ NHNN về cho vay hỗ trợ lãi suất,265.624,275.708,265624.0,275708.0
- Phải thu khách hàng trong hoạt động báo hiểm của BIC,Trong đó: > - Phải thu khách hàng trong hoạt động báo hiểm của BIC,- Phải thu khách hàng trong hoạt động báo hiểm của BIC,475.716,289.034,475716.0,289034.0
- Phải thu trong hoạt động giao dịch chứng khoán của BSC,Trong đó: > - Phải thu trong hoạt động giao dịch chứng khoán của BSC,- Phải thu trong hoạt động giao dịch chứng khoán của BSC,4.265,1.501,4265.0,1501.0
,,,32.068.615,24.745.025,32068615.0,24745025.0
