row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua lãi lỗ triệu đồng,Giá trị ghi sổ > Nắm giữ đến ngày đáo hạn triệu đồng,Giá trị ghi sổ > Cho vay và phải thu triệu đồng,Giá trị ghi sổ > Sẵn sàng để bán triệu đồng,Giá trị ghi sổ > Tài sản và nợ khác ghi nhận theo giá trị phân bổ triệu đồng,Giá trị ghi sổ > Tổng cộng triệu đồng,Giá trị ghi sổ > Giá trị hợp lý triệu đồng,numeric__Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua lãi lỗ triệu đồng,numeric__Giá trị ghi sổ > Nắm giữ đến ngày đáo hạn triệu đồng,numeric__Giá trị ghi sổ > Cho vay và phải thu triệu đồng,numeric__Giá trị ghi sổ > Sẵn sàng để bán triệu đồng,numeric__Giá trị ghi sổ > Tài sản và nợ khác ghi nhận theo giá trị phân bổ triệu đồng,numeric__Giá trị ghi sổ > Tổng cộng triệu đồng,numeric__Giá trị ghi sổ > Giá trị hợp lý triệu đồng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",1.458.540,-,-,-,-,1.458.540,1.458.540,1458540.0,,,,,1458540.0,1458540.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,9.819.743,-,-,9.819.743,(*),,,9819743.0,,,9819743.0,
Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,79.273.481,-,-,79.273.481,(*),,,79273481.0,,,79273481.0,
Cho vay khách hàng và mua nợ,Cho vay khách hàng và mua nợ,Cho vay khách hàng và mua nợ,-,-,201.404.016,-,-,201.404.016,(*),,,201404016.0,,,201404016.0,
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,-,-,-,97.307.982,-,97.307.982,(*),,,,97307982.0,,97307982.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,1.236,-,1.236,(*),,,,1236.0,,1236.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,20.791.112,-,,20.791.112,(*),,,20791112.0,,,20791112.0,
,,,1.458.540,-,311.288.352,97.309.218,-,410.056.110,,1458540.0,,311288352.0,97309218.0,,410056110.0,
Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,-,23.066.596,23.066.596,(*),,,,,23066596.0,23066596.0,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,108.851.090,108.851.090,(*),,,,,108851090.0,108851090.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,196.667.618,196.667.618,(*),,,,,196667618.0,196667618.0,
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,433.514,-,-,-,-,433.514,433.514,433514.0,,,,,433514.0,433514.0
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,32.634.109,32.634.109,(*),,,,,32634109.0,32634109.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,5.481.497,5.481.497,(*),,,,,5481497.0,5481497.0,
,,,433.514,-,-,-,366.700.910,367.134.424,,433514.0,,,,366700910.0,367134424.0,
