row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2025 triệu đồng,Ngày 31 tháng 12 năm 2024 triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2025 triệu đồng,numeric__Ngày 31 tháng 12 năm 2024 triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,1.458.540,1.203.088,5.0,1458540.0,1203088.0
"Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")","TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")","Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")",6,9.819.743,5.494.572,6.0,9819743.0,5494572.0
"Tiền gửi và cho vay các tổ chức tín dụng (""TCTD"") khác","TÀI SẢN > Tiền gửi và cho vay các tổ chức tín dụng (""TCTD"") khác","Tiền gửi và cho vay các tổ chức tín dụng (""TCTD"") khác",7,79.273.481,63.609.147,7.0,79273481.0,63609147.0
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,,64.552.442,56.922.983,,64552442.0,56922983.0
Cho vay các TCTD khác,TÀI SẢN > Cho vay các TCTD khác,Cho vay các TCTD khác,,14.721.039,6.686.164,,14721039.0,6686164.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,198.806.672,171.794.867,,198806672.0,171794867.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,9,201.404.014,174.718.888,9.0,201404014.0,174718888.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,10,(2.597.342),(2.924.021),10.0,-2597342.0,-2924021.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,11,,-,11.0,,
Mua nợ,TÀI SẢN > Mua nợ,Mua nợ,,2,383,,2.0,383.0
Dự phòng rủi ro hoạt động mua nợ,TÀI SẢN > Dự phòng rủi ro hoạt động mua nợ,Dự phòng rủi ro hoạt động mua nợ,,(2),(383),,-2.0,-383.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,12,97.293.272,65.569.856,12.0,97293272.0,65569856.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,,97.307.982,65.604.781,,97307982.0,65604781.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,,(14.710),(34.925),,-14710.0,-34925.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",13,1.698.312,698.312,13.0,1698312.0,698312.0
Đầu tư vào công ty con,TÀI SẢN > Đầu tư vào công ty con,Đầu tư vào công ty con,,1.697.076,697.076,,1697076.0,697076.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,1.236,1.236,,1236.0,1236.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,,496.700,432.652,,496700.0,432652.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,14,287.976,232.345,14.0,287976.0,232345.0
Nguyên giá,TÀI SẢN > Nguyên giá,Nguyên giá,,823.250,732.302,,823250.0,732302.0
Khấu hao lũy kế,TÀI SẢN > Khấu hao lũy kế,Khấu hao lũy kế,,(535.274),(499.957),,-535274.0,-499957.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,15,208.724,200.307,15.0,208724.0,200307.0
Nguyên giá,TÀI SẢN > Nguyên giá,Nguyên giá,,704.391,663.675,,704391.0,663675.0
Hao mòn lũy kế,TÀI SẢN > Hao mòn lũy kế,Hao mòn lũy kế,,(495.667),(463.368),,-495667.0,-463368.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,16,22.108.139,11.185.996,16.0,22108139.0,11185996.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,16.1,11.411.500,5.681.333,161.0,11411500.0,5681333.0
"Các khoản lãi, phí phải thu","TÀI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",16.2,10.122.744,4.873.473,162.0,10122744.0,4873473.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,16.3,610.876,675.267,163.0,610876.0,675267.0
Dự phòng rủi ro các tài sản Có khác,TÀI SẢN > Dự phòng rủi ro các tài sản Có khác,Dự phòng rủi ro các tài sản Có khác,16.4,(36.981),(44.077),164.0,-36981.0,-44077.0
TỔNG TÀI SẢN CÓ,TÀI SẢN > TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,,410.954.859,319.988.490,,410954859.0,319988490.0
