row_label_raw,row_label_full,col_0,Chưa bị giảm giá triệu đồng,Bị giảm giá nhưng không có dự phòng triệu đồng,Bị giảm giá và có dự phòng triệu đồng,Tổng công triệu đồng,numeric__Chưa bị giảm giá triệu đồng,numeric__Bị giảm giá nhưng không có dự phòng triệu đồng,numeric__Bị giảm giá và có dự phòng triệu đồng,numeric__Tổng công triệu đồng
Tiền gửi có kỳ hạn tại và cho vay các TCTD khác,Tiền gửi có kỳ hạn tại và cho vay các TCTD khác,Tiền gửi có kỳ hạn tại và cho vay các TCTD khác,49.462.553,-,-,49.462.553,49462553.0,,,49462553.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,194.211.591,2.438.747,4.753.676,201.404.014,194211591.0,2438747.0,4753676.0,201404014.0
Hoạt động mua nợ,Hoạt động mua nợ,Hoạt động mua nợ,-,-,2,2,,,2.0,2.0
"Chứng khoán nợ do các TCTD, TCKT trong nước phát hành","Chứng khoán nợ do các TCTD, TCKT trong nước phát hành","Chứng khoán nợ do các TCTD, TCKT trong nước phát hành",49.507.504,376.000,-,49.883.504,49507504.0,376000.0,,49883504.0
Tài sản có rủi ro tín dụng khác,Tài sản có rủi ro tín dụng khác,Tài sản có rủi ro tín dụng khác,-,4.001.159,-,4.001.159,,4001159.0,,4001159.0
Tổng cộng,Tổng cộng,Tổng cộng,293.181.648,6.815.906,4.753.678,304.751.232,293181648.0,6815906.0,4753678.0,304751232.0
