row_label_raw,row_label_full,Số dư đầu năm > Hoàn nhập trong năm > Xử lý rủi ro trong năm,Năm 2025 triệu đồng > 43.882 > (3.221) > (3.971),Năm 2024 triệu đồng > 43.650 > (8) > -,numeric__Năm 2025 triệu đồng > 43.882 > (3.221) > (3.971),numeric__Năm 2024 triệu đồng > 43.650 > (8) > -
Tăng khác,Tăng khác,Tăng khác,291,240,291.0,240.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,36.981,43.882,36981.0,43882.0
