row_label_raw,row_label_full,col_0,Quá hạn > Trên 3 tháng,Quá hạn > Đến 3 tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ 1 – 3 tháng,Trong hạn > Từ 3 – 12 tháng,Trong hạn > Từ 1 – 5 năm,Trong hạn > Trên 5 năm,Đơn vị: triệu đồng > Tổng cộng,numeric__Quá hạn > Trên 3 tháng,numeric__Quá hạn > Đến 3 tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ 1 – 3 tháng,numeric__Trong hạn > Từ 3 – 12 tháng,numeric__Trong hạn > Từ 1 – 5 năm,numeric__Trong hạn > Trên 5 năm,numeric__Đơn vị: triệu đồng > Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,1.458.540,-,-,-,-,1.458.540,,,1458540.0,,,,,1458540.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,9.819.743,-,-,-,-,9.819.743,,,9819743.0,,,,,9819743.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,58.586.779,9.293.190,11.261.339,132.173,-,79.273.481,,,58586779.0,9293190.0,11261339.0,132173.0,,79273481.0
Cho vay khách hàng và mua nợ (*),Tài sản > Cho vay khách hàng và mua nợ (*),Cho vay khách hàng và mua nợ (*),5.173.204,2.019.221,9.384.090,29.303.650,48.985.633,64.999.533,41.538.685,201.404.016,5173204.0,2019221.0,9384090.0,29303650.0,48985633.0,64999533.0,41538685.0,201404016.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,376.000,1.853.867,7.402.075,34.656.230,11.730.190,41.289.620,97.307.982,,376000.0,1853867.0,7402075.0,34656230.0,11730190.0,41289620.0,97307982.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,1.698.312,1.698.312,,,,,,,1698312.0,1698312.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,496.700,496.700,,,,,,,496700.0,496700.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),191.127,2.400,1.163.195,3.376.074,6.708.907,2.409.546,8.293.871,22.145.120,191127.0,2400.0,1163195.0,3376074.0,6708907.0,2409546.0,8293871.0,22145120.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,5.364.331,2.397.621,82.266.214,49.374.989,101.612.109,79.271.442,93.317.188,413.603.894,5364331.0,2397621.0,82266214.0,49374989.0,101612109.0,79271442.0,93317188.0,413603894.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,14.123.352,7.943.272,999.972,-,-,23.066.596,,,14123352.0,7943272.0,999972.0,,,23066596.0
Tiền gửi của và vay các TCTD khác (**),Nợ phải trả > Tiền gửi của và vay các TCTD khác (**),Tiền gửi của và vay các TCTD khác (**),-,-,85.841.750,8.406.356,12.339.967,1.778.291,484.726,108.851.090,,,85841750.0,8406356.0,12339967.0,1778291.0,484726.0,108851090.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,(22.959),140.787,202.487,113.199,-,433.514,,,-22959.0,140787.0,202487.0,113199.0,,433514.0
Tiền gửi của khách hàng (**),Nợ phải trả > Tiền gửi của khách hàng (**),Tiền gửi của khách hàng (**),-,-,83.138.954,30.645.877,78.049.617,4.815.090,18.080,196.667.618,,,83138954.0,30645877.0,78049617.0,4815090.0,18080.0,196667618.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,13.900.119,16.233.990,2.500.000,32.634.109,,,,,13900119.0,16233990.0,2500000.0,32634109.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),-,-,2.232.752,922.195,3.207.093,428.124,1.278,6.791.442,,,2232752.0,922195.0,3207093.0,428124.0,1278.0,6791442.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,185.313.849,48.058.487,108.699.255,23.368.694,3.004.084,368.444.369,,,185313849.0,48058487.0,108699255.0,23368694.0,3004084.0,368444369.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,5.364.331,2.397.621,(103.047.635),1.316.502,(7.087.146),55.902.748,90.313.104,45.159.525,5364331.0,2397621.0,-103047635.0,1316502.0,-7087146.0,55902748.0,90313104.0,45159525.0
