row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm > 2025,Ngày 31 tháng 12 năm > 2025_1,Ngày 31 tháng 12 năm > 2024,Ngày 31 tháng 12 năm > 2024_1,numeric__Ngày 31 tháng 12 năm > 2025,numeric__Ngày 31 tháng 12 năm > 2025_1,numeric__Ngày 31 tháng 12 năm > 2024,numeric__Ngày 31 tháng 12 năm > 2024_1
,,,triệu đồng,%,triệu đồng,%,,,,
"Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản",479.063,"0,24",629.627,"0,36",479063.0,0.24,629627.0,0.36
Khai khoáng,Khai khoáng,Khai khoáng,160.874,"0,08",1.176.661,"0,67",160874.0,0.08,1176661.0,0.67
Chế biến thủy hải sản,Chế biến thủy hải sản,Chế biến thủy hải sản,1.655.320,"0,82",1.355.092,"0,78",1655320.0,0.82,1355092.0,0.78
"Sản xuất, chế biến lương thực, thực phẩm,đồ uống, thức ăn chăn nuôi","Sản xuất, chế biến lương thực, thực phẩm,đồ uống, thức ăn chăn nuôi","Sản xuất, chế biến lương thực, thực phẩm,đồ uống, thức ăn chăn nuôi",2.035.080,"1,01",2.295.490,"1,31",2035080.0,1.01,2295490.0,1.31
"Dệt may, sản xuất da dày, sản xuất trangphục","Dệt may, sản xuất da dày, sản xuất trangphục","Dệt may, sản xuất da dày, sản xuất trangphục",928.898,"0,46",1.445.539,"0,83",928898.0,0.46,1445539.0,0.83
"Khai thác và sơ chế gỗ, chế biến gỗ, sànxuất sản phẩm từ gỗ và lâm sản khác","Khai thác và sơ chế gỗ, chế biến gỗ, sànxuất sản phẩm từ gỗ và lâm sản khác","Khai thác và sơ chế gỗ, chế biến gỗ, sànxuất sản phẩm từ gỗ và lâm sản khác",1.841.096,"0,91",1.910.169,"1,09",1841096.0,0.91,1910169.0,1.09
Sản xuất giấy và các sản phẩm từ giấy và inấn,Sản xuất giấy và các sản phẩm từ giấy và inấn,Sản xuất giấy và các sản phẩm từ giấy và inấn,388.785,"0,19",407.433,"0,23",388785.0,0.19,407433.0,0.23
"Sản xuất thuốc, hóa được, được liệu, caosu, nhựa, phân bón, hóa chất","Sản xuất thuốc, hóa được, được liệu, caosu, nhựa, phân bón, hóa chất","Sản xuất thuốc, hóa được, được liệu, caosu, nhựa, phân bón, hóa chất",3.117.951,"1,55",2.797.289,"1,60",3117951.0,1.55,2797289.0,1.6
"Sản xuất vật liệu xây dựng (trừ thép, Inox,sơn, matit và các chất tương tự)","Sản xuất vật liệu xây dựng (trừ thép, Inox,sơn, matit và các chất tương tự)","Sản xuất vật liệu xây dựng (trừ thép, Inox,sơn, matit và các chất tương tự)",2.837.918,"1,41",3.202.064,"1,83",2837918.0,1.41,3202064.0,1.83
Sản xuất thép thành phẩm,Sản xuất thép thành phẩm,Sản xuất thép thành phẩm,2.172.386,"1,08",1.813.945,"1,04",2172386.0,1.08,1813945.0,1.04
