row_label_raw,row_label_full,col_0,Năm 2025 triệu đồng,Năm 2024 triệu đồng,numeric__Năm 2025 triệu đồng,numeric__Năm 2024 triệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,498.376,1.800.319,498376.0,1800319.0
Thu nhập từ nợ đã xử lý rủi ro,Thu nhập từ nợ đã xử lý rủi ro,Thu nhập từ nợ đã xử lý rủi ro,361.376,1.338.284,361376.0,1338284.0
Thu từ nghiệp vụ mua bán nợ,Thu từ nghiệp vụ mua bán nợ,Thu từ nghiệp vụ mua bán nợ,105,307,105.0,307.0
Thu từ chuyển nhượng thanh lý tài sản,Thu từ chuyển nhượng thanh lý tài sản,Thu từ chuyển nhượng thanh lý tài sản,2.736,535,2736.0,535.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,134.159,461.193,134159.0,461193.0
Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,(32.390),(577.472),-32390.0,-577472.0
Chi về nghiệp vụ mua bán nợ,Chi về nghiệp vụ mua bán nợ,Chi về nghiệp vụ mua bán nợ,-,(8),,-8.0
Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,-,(52),,-52.0
Chi phí khác,Chi phí khác,Chi phí khác,(32.390),(577.412),-32390.0,-577412.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,465.986,1.222.847,465986.0,1222847.0
