row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2025Phải thu/(Phải trả)triệu đồng,Ngày 31 tháng 12năm 2024Phải thu/(Phải trả)triệu đồng,numeric__Ngày 31 tháng 12năm 2025Phải thu/(Phải trả)triệu đồng,numeric__Ngày 31 tháng 12năm 2024Phải thu/(Phải trả)triệu đồng
"Công ty Tài chính TNHH MTV TNEX (""TNEX FINANCE"") – Công ty con","Công ty Tài chính TNHH MTV TNEX (""TNEX FINANCE"") – Công ty con","Công ty Tài chính TNHH MTV TNEX (""TNEX FINANCE"") – Công ty con","Công ty Tài chính TNHH MTV TNEX (""TNEX FINANCE"") – Công ty con","Công ty Tài chính TNHH MTV TNEX (""TNEX FINANCE"") – Công ty con",,
Góp vốn,"Công ty Tài chính TNHH MTV TNEX (""TNEX FINANCE"") – Công ty con > Góp vốn",Góp vốn,1.697.076,697.076,1697076.0,697076.0
Tiền gửi không kỳ hạn của TNEX FINANCE tạiMSB,"Công ty Tài chính TNHH MTV TNEX (""TNEX FINANCE"") – Công ty con > Tiền gửi không kỳ hạn của TNEX FINANCE tạiMSB",Tiền gửi không kỳ hạn của TNEX FINANCE tạiMSB,(240.881),(37.632),-240881.0,-37632.0
Tiền gửi có kỳ hạn của MSB tại TNEX FINANCE,"Công ty Tài chính TNHH MTV TNEX (""TNEX FINANCE"") – Công ty con > Tiền gửi có kỳ hạn của MSB tại TNEX FINANCE",Tiền gửi có kỳ hạn của MSB tại TNEX FINANCE,5.306.394,2.913.000,5306394.0,2913000.0
Phải thu lãi tiền gửi,"Công ty Tài chính TNHH MTV TNEX (""TNEX FINANCE"") – Công ty con > Phải thu lãi tiền gửi",Phải thu lãi tiền gửi,16.412,4.884,16412.0,4884.0
Hoạt động mua nợ,"Công ty Tài chính TNHH MTV TNEX (""TNEX FINANCE"") – Công ty con > Hoạt động mua nợ",Hoạt động mua nợ,2,383,2.0,383.0
Các khoản phải thu khác,"Công ty Tài chính TNHH MTV TNEX (""TNEX FINANCE"") – Công ty con > Các khoản phải thu khác",Các khoản phải thu khác,61,61,61.0,61.0
Giấy tờ có giá,"Công ty Tài chính TNHH MTV TNEX (""TNEX FINANCE"") – Công ty con > Giấy tờ có giá",Giấy tờ có giá,(3.000.000),-,-3000000.0,
Phải trả lãi giấy tờ có giá,"Công ty Tài chính TNHH MTV TNEX (""TNEX FINANCE"") – Công ty con > Phải trả lãi giấy tờ có giá",Phải trả lãi giấy tờ có giá,(36.685),-,-36685.0,
"Tập đoàn Bưu chính viễn thông Việt Nam (""VNPT"") – Cổ đông lớn","Tập đoàn Bưu chính viễn thông Việt Nam (""VNPT"") – Cổ đông lớn","Tập đoàn Bưu chính viễn thông Việt Nam (""VNPT"") – Cổ đông lớn","Tập đoàn Bưu chính viễn thông Việt Nam (""VNPT"") – Cổ đông lớn","Tập đoàn Bưu chính viễn thông Việt Nam (""VNPT"") – Cổ đông lớn",,
