row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025_1,Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024_1,numeric__Ngày 31 tháng 12 năm 2025,numeric__Ngày 31 tháng 12 năm 2025_1,numeric__Ngày 31 tháng 12 năm 2024,numeric__Ngày 31 tháng 12 năm 2024_1
,,,triệu đồng,%,triệu đồng,%,,,,
Doanh nghiệp nhà nước,Doanh nghiệp nhà nước,Doanh nghiệp nhà nước,1.124.773,"0,56",1.274.101,"0,73",1124773.0,0.56,1274101.0,0.73
Công ty trách nhiệm hữu hạn Nhà nước,Công ty trách nhiệm hữu hạn Nhà nước,Công ty trách nhiệm hữu hạn Nhà nước,450.147,"0,22",1.457.710,"0,83",450147.0,0.22,1457710.0,0.83
Công ty trách nhiệm hữu hạn khác,Công ty trách nhiệm hữu hạn khác,Công ty trách nhiệm hữu hạn khác,50.363.498,"25,01",47.240.196,"27,04",50363498.0,25.01,47240196.0,27.04
Công ty cổ phần có vốn cổ phần của Nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chỉ phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn cổ phần của Nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chỉ phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn cổ phần của Nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chỉ phối đối với công ty trong Điều lệ của công ty,1.125.404,"0,56",1.416.543,"0,81",1125404.0,0.56,1416543.0,0.81
Công ty cổ phần khác,Công ty cổ phần khác,Công ty cổ phần khác,88.390.139,"43,89",78.619.804,"45,00",88390139.0,43.89,78619804.0,45.0
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,74,"0,00",2.039,"0,00",74.0,0.0,2039.0,0.0
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,1.235.345,"0,61",47.946,"0,03",1235345.0,0.61,47946.0,0.03
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,13.361,"0,01",18.195,"0,01",13361.0,0.01,18195.0,0.01
"Đơn vị hành chính, sự nghiệp, Đắng, đoàn thể và hiệp hội","Đơn vị hành chính, sự nghiệp, Đắng, đoàn thể và hiệp hội","Đơn vị hành chính, sự nghiệp, Đắng, đoàn thể và hiệp hội",2.153,"0,00",209,"0,00",2153.0,0.0,209.0,0.0
Cá nhân,Cá nhân,Cá nhân,58.699.120,"29,14",44.640.025,"25,55",58699120.0,29.14,44640025.0,25.55
Khác,Khác,Khác,-,-,2.120,"0,00",,,2120.0,0.0
,,,201.404.014,"100,00",174.718.888,"100,00",201404014.0,100.0,174718888.0,100.0
