row_label_raw,row_label_full,Vốn của TCTD,col_1,29.198.918,25.426.026,numeric__col_1,numeric__29.198.918,numeric__25.426.026
Vốn điều lệ,Vốn điều lệ,Vốn điều lệ,,29.076.321,25.303.429,,29076321.0,25303429.0
Vốn đầu tư xây dựng cơ bản và mua sắm tài sản cố định,Vốn đầu tư xây dựng cơ bản và mua sắm tài sản cố định,Vốn đầu tư xây dựng cơ bản và mua sắm tài sản cố định,,89,89,,89.0,89.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,,535.956,535.956,,535956.0,535956.0
Cổ phiếu quỹ (*),Cổ phiếu quỹ (*),Cổ phiếu quỹ (*),,(413.448),(413.448),,-413448.0,-413448.0
Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,,-,-,,,
Vốn khác,Vốn khác,Vốn khác,,-,-,,,
Qũy của TCTD,Vốn khác > Qũy của TCTD,Qũy của TCTD,,4.708.243,3.527.727,,4708243.0,3527727.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,,,-,,,
Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,,-,-,,,
Lợi nhuận chưa phân phối,Chênh lệch đánh giá lại tài sản > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,10.561.698,7.999.785,,10561698.0,7999785.0
Lợi ích cổ đông không kiểm soát,Chênh lệch đánh giá lại tài sản > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,,1.931.463,2.041.348,,1931463.0,2041348.0
TỔNG VỐN CHỦ SỞ HỮU,Chênh lệch đánh giá lại tài sản > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,V.13.1,46.400.322,38.994.886,,46400322.0,38994886.0
"TỔNG NỘ PHẢI TRÀ, VỐN CHỦ SỞ HỮU","TỔNG NỘ PHẢI TRÀ, VỐN CHỦ SỞ HỮU","TỔNG NỘ PHẢI TRÀ, VỐN CHỦ SỞ HỮU",,,,,,
VÀ LỢI ÍCH CỦA CỔ ĐÔNG KHÔNG,VÀ LỢI ÍCH CỦA CỔ ĐÔNG KHÔNG,VÀ LỢI ÍCH CỦA CỔ ĐÔNG KHÔNG,,,,,,
KIỂM SOÁT,VÀ LỢI ÍCH CỦA CỔ ĐÔNG KHÔNG > KIỂM SOÁT,KIỂM SOÁT,,602.314.859,416.273.023,,602314859.0,416273023.0
