row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2023Triệu đồng,Ngày 31 tháng12 năm 2022Triệu đồng,numeric__Ngày 31 tháng 12năm 2023Triệu đồng,numeric__Ngày 31 tháng12 năm 2022Triệu đồng
1.1. Chứng khoán Nợ,1.1. Chứng khoán Nợ,1.1. Chứng khoán Nợ,1.1. Chứng khoán Nợ,1.1. Chứng khoán Nợ,,
"- Chứng khoán Chính phủ, Chính quyền địa phương","- Chứng khoán Chính phủ, Chính quyền địa phương","- Chứng khoán Chính phủ, Chính quyền địa phương",-,-,,
- Chứng khoán do các TCTD khác trong nước phát hành,"- Chứng khoán Chính phủ, Chính quyền địa phương > - Chứng khoán do các TCTD khác trong nước phát hành",- Chứng khoán do các TCTD khác trong nước phát hành,18.580.932,1.797.822,18580932.0,1797822.0
- Chứng khoán do các TCKT trong nước phát hành,- Chứng khoán do các TCKT trong nước phát hành,- Chứng khoán do các TCKT trong nước phát hành,-,-,,
- Chứng khoán nợ nước ngoài,- Chứng khoán nợ nước ngoài,- Chứng khoán nợ nước ngoài,-,-,,
Tổng,- Chứng khoán nợ nước ngoài > Tổng,Tổng,18.580.932,1.797.822,18580932.0,1797822.0
1.2. Chứng khoán Vốn,1.2. Chứng khoán Vốn,1.2. Chứng khoán Vốn,1.2. Chứng khoán Vốn,1.2. Chứng khoán Vốn,,
- Chứng khoán do các TCTD khác trong nước phát hành,- Chứng khoán do các TCTD khác trong nước phát hành,- Chứng khoán do các TCTD khác trong nước phát hành,-,-,,
- Chứng khoán do các TCKT trong nước phát hành,- Chứng khoán do các TCKT trong nước phát hành,- Chứng khoán do các TCKT trong nước phát hành,-,-,,
- Chứng khoán vốn nước ngoài,- Chứng khoán vốn nước ngoài,- Chứng khoán vốn nước ngoài,-,-,,
1.3. Chứng khoán kinh doanh khác,1.3. Chứng khoán kinh doanh khác,1.3. Chứng khoán kinh doanh khác,-,-,,
1.4 Phân tích chất lượng dư nợ chứng khoán kinh doanh được phân loại là tài sản có rủi ro tín dụng,1.4 Phân tích chất lượng dư nợ chứng khoán kinh doanh được phân loại là tài sản có rủi ro tín dụng,1.4 Phân tích chất lượng dư nợ chứng khoán kinh doanh được phân loại là tài sản có rủi ro tín dụng,1.4 Phân tích chất lượng dư nợ chứng khoán kinh doanh được phân loại là tài sản có rủi ro tín dụng,1.4 Phân tích chất lượng dư nợ chứng khoán kinh doanh được phân loại là tài sản có rủi ro tín dụng,,
- Nợ đủ tiêu chuẩn,1.4 Phân tích chất lượng dư nợ chứng khoán kinh doanh được phân loại là tài sản có rủi ro tín dụng > - Nợ đủ tiêu chuẩn,- Nợ đủ tiêu chuẩn,18.580.932,1.797.822,18580932.0,1797822.0
- Nợ cần chú ý,- Nợ cần chú ý,- Nợ cần chú ý,-,-,,
- Nợ dưới tiêu chuẩn,- Nợ dưới tiêu chuẩn,- Nợ dưới tiêu chuẩn,-,-,,
- Nợ nghi ngờ,- Nợ nghi ngờ,- Nợ nghi ngờ,-,-,,
- Nợ có khả năng mất vốn,- Nợ có khả năng mất vốn,- Nợ có khả năng mất vốn,-,-,,
Tổng,- Nợ có khả năng mất vốn > Tổng,Tổng,18.580.932,1.797.822,18580932.0,1797822.0
1.5. Dự phòng rủi ro chứng khoán kinh doanh,1.5. Dự phòng rủi ro chứng khoán kinh doanh,1.5. Dự phòng rủi ro chứng khoán kinh doanh,-,-,,
Trong đó: - Dự phòng giảm giá,Trong đó: - Dự phòng giảm giá,Trong đó: - Dự phòng giảm giá,-,-,,
- Dự phòng chung,- Dự phòng chung,- Dự phòng chung,,,,
- Dự phòng cụ thể,- Dự phòng cụ thể,- Dự phòng cụ thể,,,,
1.6 Thuyết minh về tinh trạng niêm yết của các chứng khoán kinh doanh,1.6 Thuyết minh về tinh trạng niêm yết của các chứng khoán kinh doanh,1.6 Thuyết minh về tinh trạng niêm yết của các chứng khoán kinh doanh,1.6 Thuyết minh về tinh trạng niêm yết của các chứng khoán kinh doanh,1.6 Thuyết minh về tinh trạng niêm yết của các chứng khoán kinh doanh,,
Chứng khoán Nợ:,Chứng khoán Nợ:,Chứng khoán Nợ:,-,-,,
+ Đã niêm yết,+ Đã niêm yết,+ Đã niêm yết,-,-,,
+ Chưa niêm yết,+ Đã niêm yết > + Chưa niêm yết,+ Chưa niêm yết,18.580.932,1.797.822,18580932.0,1797822.0
Chứng khoán Vốn:,Chứng khoán Vốn:,Chứng khoán Vốn:,-,-,,
+ Đã niêm yết,+ Đã niêm yết,+ Đã niêm yết,-,-,,
+ Chưa niêm yết,+ Chưa niêm yết,+ Chưa niêm yết,-,-,,
Chứng khoán kinh doanh khác:,Chứng khoán kinh doanh khác:,Chứng khoán kinh doanh khác:,-,-,,
+ Đã niêm yết,+ Đã niêm yết,+ Đã niêm yết,-,-,,
+ Chưa niêm yết,+ Chưa niêm yết,+ Chưa niêm yết,-,-,,
