row_label_raw,row_label_full,Họ và tên,Chức vụ,2023Triệu đồng,2022Triệu đồng,numeric__Chức vụ,numeric__2023Triệu đồng,numeric__2022Triệu đồng
Ông Phạm Quốc Thanh,Ông Phạm Quốc Thanh,Ông Phạm Quốc Thanh,Tổng Giám đốc,2.174,6.060,,2174.0,6060.0
Ông Nguyễn Minh Đức,Ông Nguyễn Minh Đức,Ông Nguyễn Minh Đức,Phó Tổng Giám đốc,2.180,3.940,,2180.0,3940.0
Ông Lê Thanh Tùng,Ông Lê Thanh Tùng,Ông Lê Thanh Tùng,Phó Tổng Giám đốc,1.569,1.702,,1569.0,1702.0
Ông Nguyễn Văn Hảo,Ông Nguyễn Văn Hảo,Ông Nguyễn Văn Hảo,Phó Tổng Giám đốc,2.141,3.223,,2141.0,3223.0
Ông Nguyễn Đăng Thanh,Ông Nguyễn Đăng Thanh,Ông Nguyễn Đăng Thanh,Phó Tổng Giám đốc,1.858,3.004,,1858.0,3004.0
Ông Lê Thành Trung,Ông Lê Thành Trung,Ông Lê Thành Trung,Phó Tổng Giám đốc,2.158,1.309,,2158.0,1309.0
Ông Trần Hoài Nam,Ông Trần Hoài Nam,Ông Trần Hoài Nam,Phó Tổng Giám đốc,2.054,2.145,,2054.0,2145.0
Ông Trần Thái Hòa,Ông Trần Thái Hòa,Ông Trần Thái Hòa,Phó Tổng Giám đốc,1.347,2.067,,1347.0,2067.0
Ông Nguyễn Cảnh Vinh,Ông Nguyễn Cảnh Vinh,Ông Nguyễn Cảnh Vinh,Phó Tổng Giám đốc,2.601,323,,2601.0,323.0
Ông Trần Xuân Huy,Ông Trần Xuân Huy,Ông Trần Xuân Huy,Phó Tổng Giám đốc,806,-,,806.0,
Bà Nguyễn Đoàn Duy Ái,Bà Nguyễn Đoàn Duy Ái,Bà Nguyễn Đoàn Duy Ái,Phó Tổng Giám đốc(dế n trước ngày 20.6.2022),-,2.502,,,2502.0
Ông Phạm Văn Đầu,Ông Phạm Văn Đầu,Ông Phạm Văn Đầu,Giám đốc Tài chính,1.359,1.631,,1359.0,1631.0
Bà Hồ Đăng Hoàng Quyên,Bà Hồ Đăng Hoàng Quyên,Bà Hồ Đăng Hoàng Quyên,Kế toán Trường,1.038,1.411,,1038.0,1411.0
,,,,21.285,29.317,,21285.0,29317.0
