row_label_raw,row_label_full,col_0,Quyền sử dụng đất có thời hạn Triệu đồng,Quyền sử dụng đất không thời hạn Triệu đồng,Phần mềm vi tính Triệu đồng,TSCĐ vô hình khác Triệu đồng,Tổng cộng Triệu đồng,numeric__Quyền sử dụng đất có thời hạn Triệu đồng,numeric__Quyền sử dụng đất không thời hạn Triệu đồng,numeric__Phần mềm vi tính Triệu đồng,numeric__TSCĐ vô hình khác Triệu đồng,numeric__Tổng cộng Triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,109.626,531.404,357.930,7.313,1.006.273,109626.0,531404.0,357930.0,7313.0,1006273.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,69.264,650,69.914,,,69264.0,650.0,69914.0
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,109.626,531.404,427.194,7.963,1.076.187,109626.0,531404.0,427194.0,7963.0,1076187.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,12.328,-,305.971,4.538,322.837,12328.0,,305971.0,4538.0,322837.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.044,-,41.058,630,43.732,2044.0,,41058.0,630.0,43732.0
Tại ngày 31 tháng 12 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,14.372,-,347.029,5.168,366.569,14372.0,,347029.0,5168.0,366569.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,97.298,531.404,51.959,2.775,683.436,97298.0,531404.0,51959.0,2775.0,683436.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,95.254,531.404,80.165,2.795,709.618,95254.0,531404.0,80165.0,2795.0,709618.0
