row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2023,Quá hạn > Ngày 31 tháng 12 năm 2023,Không chịu lãi suất > Ngày 31 tháng 12 năm 2023,Dưới 1 tháng > Ngày 31 tháng 12 năm 2023,Từ 1 đến 3 tháng > Ngày 31 tháng 12 năm 2023,Từ trên 3 đến 6 tháng > Ngày 31 tháng 12 năm 2023,Từ trên 6 đến 12 tháng > Ngày 31 tháng 12 năm 2023,Từ trên 1 đến 5 năm > Ngày 31 tháng 12 năm 2023,Trên 5 năm > Ngày 31 tháng 12 năm 2023,Tổng cộng > Ngày 31 tháng 12 năm 2023,numeric__Quá hạn > Ngày 31 tháng 12 năm 2023,numeric__Không chịu lãi suất > Ngày 31 tháng 12 năm 2023,numeric__Dưới 1 tháng > Ngày 31 tháng 12 năm 2023,numeric__Từ 1 đến 3 tháng > Ngày 31 tháng 12 năm 2023,numeric__Từ trên 3 đến 6 tháng > Ngày 31 tháng 12 năm 2023,numeric__Từ trên 6 đến 12 tháng > Ngày 31 tháng 12 năm 2023,numeric__Từ trên 1 đến 5 năm > Ngày 31 tháng 12 năm 2023,numeric__Trên 5 năm > Ngày 31 tháng 12 năm 2023,numeric__Tổng cộng > Ngày 31 tháng 12 năm 2023
Tài sản,Tài sản,Tài sản,,,,,,,,,2.810.044,,,,,,,,,2810044.0
"Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý",-,2.810.044,-,-,-,-,-,-,41.481.638,,2810044.0,,,,,,,41481638.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,41.481.638,-,-,-,-,-,-,96.514.863,,41481638.0,,,,,,,96514863.0
Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,87.159.872,1.177.700,549.266,7.628.025,-,-,18.580.932,,,87159872.0,1177700.0,549266.0,7628025.0,,,18580932.0
Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,4.403.015,1.630.697,12.547.220,-,-,110.079,,,,4403015.0,1630697.0,12547220.0,,,110079.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,108.709,(230),-,-,-,1.600,-,343.404.295,,108709.0,-230.0,,,,1600.0,,343404295.0
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*),24.165.370,-,87.635.553,143.908.077,41.622.010,37.514.236,8.474.173,84.876,44.176.561,24165370.0,,87635553.0,143908077.0,41622010.0,37514236.0,8474173.0,84876.0,44176561.0
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),2.529.995,285.222,1.971.988,12.507.955,1.567.407,4.386.854,5.485.867,15.441.273,163.921,2529995.0,285222.0,1971988.0,12507955.0,1567407.0,4386854.0,5485867.0,15441273.0,163921.0
"Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,163.921,-,-,-,-,-,-,1.422.759,,163921.0,,,,,,,1422759.0
TSCĐ,TSCĐ,TSCĐ,-,1.422.759,-,-,-,-,-,-,57.855.157,,1422759.0,,,,,,,57855157.0
Tài sản Có khác (*),Tài sản Có khác (*),Tài sản Có khác (*),46.799,19.546.358,3.139.526,5.853.740,11.757.812,17.305.922,205.000,-,606.520.249,46799.0,19546358.0,3139526.0,5853740.0,11757812.0,17305922.0,205000.0,,606520249.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,26.742.164,65.818.651,179.906.709,167.850.487,57.127.192,79.382.257,14.166.640,15.526.149,606.520.249,26742164.0,65818651.0,179906709.0,167850487.0,57127192.0,79382257.0,14166640.0,15526149.0,606520249.0
