row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023Triệu đồng,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2022Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023Triệu đồng,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2022Triệu đồng
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
01,01,01,"Mua sắm tài sản cố định (""TSCĐ"")",,(273.921),(122.001),,,-273921.0,-122001.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán TSCĐ",,753,21.447,,,753.0,21447.0
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",,-,500,,,,500.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,9.325,22.069,,,9325.0,22069.0
II,II,II,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,(263.843),(77.985),,,-263843.0,-77985.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
01,01,01,Tăng vốn từ phát hành cổ phiếu,,-,200.000,,,,200000.0
04,04,04,Cổ tức trả cho cổ đông,19.1,(2.515.261),-,,191.0,-2515261.0,
III,III,III,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,(2.515.261),200.000,,,-2515261.0,200000.0
IV,IV,IV,LU'U CHUYÊN TIÊN THUÀN TRONG NĂM,,77.877.941,(15.597.063),,,77877941.0,-15597063.0
V,V,V,TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIÊN ĐẦU NĂM,,54.533.826,70.130.889,,,54533826.0,70130889.0
VII,VII,VII,TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIÊN CUỐI NĂM,32,132.411.767,54.533.826,,32.0,132411767.0,54533826.0
