row_label_raw,row_label_full,BẢO CẢO TÌNH HÌNH TÀI CHÍNH HỢP NHẮT > Tại ngày 31 tháng 12 năm 2023,BẢO CẢO TÌNH HÌNH TÀI CHÍNH HỢP NHẮT > Tại ngày 31 tháng 12 năm 2023 > Thuyết minh,Mẫu số B02a/TCTD-HN(Ban hành theo Thông tư số27/2021/TT- NHNN ngày 31/12/2021) > Ngày 31 tháng 12 năm 2023Triệu đồng,Mẫu số B02a/TCTD-HN(Ban hành theo Thông tư số27/2021/TT- NHNN ngày 31/12/2021) > Ngày 31 tháng 12 năm 2022Triệu đồng,numeric__BẢO CẢO TÌNH HÌNH TÀI CHÍNH HỢP NHẮT > Tại ngày 31 tháng 12 năm 2023 > Thuyết minh,numeric__Mẫu số B02a/TCTD-HN(Ban hành theo Thông tư số27/2021/TT- NHNN ngày 31/12/2021) > Ngày 31 tháng 12 năm 2023Triệu đồng,numeric__Mẫu số B02a/TCTD-HN(Ban hành theo Thông tư số27/2021/TT- NHNN ngày 31/12/2021) > Ngày 31 tháng 12 năm 2022Triệu đồng
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,,-,-,,,
Nguyên giá bất động sản đầu tư,Nguyên giá bất động sản đầu tư,Nguyên giá bất động sản đầu tư,,-,-,,,
Hao mòn bất động sản đầu tư (*),Hao mòn bất động sản đầu tư (*),Hao mòn bất động sản đầu tư (*),,-,-,,,
Tài sản Có khác,Hao mòn bất động sản đầu tư (*) > Tài sản Có khác,Tài sản Có khác,,57.808.636,40.128.470,,57808636.0,40128470.0
Các khoản phải thu,Hao mòn bất động sản đầu tư (*) > Các khoản phải thu,Các khoản phải thu,,49.527.933,33.406.609,,49527933.0,33406609.0
"Các khoản lãi, phí phải thu","Hao mòn bất động sản đầu tư (*) > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",,6.017.101,4.403.501,,6017101.0,4403501.0
Tài sản thuế TNDN hoãn lại,Hao mòn bất động sản đầu tư (*) > Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,V.12.2,76.708,32.798,,76708.0,32798.0
Tài sản Có khác,Hao mòn bất động sản đầu tư (*) > Tài sản Có khác,Tài sản Có khác,,2.233.415,2.331.870,,2233415.0,2331870.0
Trong đó: Lợi thế thương mại,Hao mòn bất động sản đầu tư (*) > Trong đó: Lợi thế thương mại,Trong đó: Lợi thế thương mại,,-,4.799,,,4799.0
Dự phòng rủi ro cho các tài sản Có nội bằng khác(*),Hao mòn bất động sản đầu tư (*) > Dự phòng rủi ro cho các tài sản Có nội bằng khác(*),Dự phòng rủi ro cho các tài sản Có nội bằng khác(*),,(46.521),(46.308),,-46521.0,-46308.0
TỔNG TÀI SẢN,Hao mòn bất động sản đầu tư (*) > TỔNG TÀI SẢN,TỔNG TÀI SẢN,,602.314.859,416.273.023,,602314859.0,416273023.0
