row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộng
,,,Trên 3 tháng,Đến 3 tháng,Đến 1 tháng,Từ trên 1 tháng đến 3 tháng,Từ trên 3 tháng đến 12 tháng,Từ trên 1 năm đến 5 năm,Trên 5 năm,Tổng cộng,,,,,,,,
Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,,,,,,,,
Tài sản,Ngày 31 tháng 12 năm 2022 > Tài sản,Tài sản,,,,,,,,2.937.994,,,,,,,,2937994.0
"Tiền mặt vàng bạc, đá quý","Ngày 31 tháng 12 năm 2022 > Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý",,,2.937.994,,,,,11.273.345,,,2937994.0,,,,,11273345.0
Tiền gửi tại NHNN,Ngày 31 tháng 12 năm 2022 > Tiền gửi tại NHNN,Tiền gửi tại NHNN,,,11.273.345,,,,,49.132.317,,,11273345.0,,,,,49132317.0
Tiền gửi và cho vay các TCTD khác,Ngày 31 tháng 12 năm 2022 > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,,,33.140.993,7.461.324,8.530.000,,,1.797.822,,,33140993.0,7461324.0,8530000.0,,,1797822.0
Chứng khoán kinh doanh (*),Ngày 31 tháng 12 năm 2022 > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),,,,,1.797.822,,,263.856.383,,,,,1797822.0,,,263856383.0
Cho vay khách hàng (*),Ngày 31 tháng 12 năm 2022 > Cho vay khách hàng (*),Cho vay khách hàng (*),4.404.191,7.386.909,14.397.322,31.837.828,131.751.201,40.942.472,33.136.460,48.819.188,4404191.0,7386909.0,14397322.0,31837828.0,131751201.0,40942472.0,33136460.0,48819188.0
Chứng khoán đầu tư (*),Ngày 31 tháng 12 năm 2022 > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),,,1.698.033,1.901.103,8.369.262,14.709.372,22.141.418,163.921,,,1698033.0,1901103.0,8369262.0,14709372.0,22141418.0,163921.0
"Góp vốn, đầu tư dài hạn (*)","Ngày 31 tháng 12 năm 2022 > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",,,,,,,163.921,1.315.057,,,,,,,163921.0,1315057.0
TSCĐ,Ngày 31 tháng 12 năm 2022 > TSCĐ,TSCĐ,,,563.171,610,27.456,226.348,497.472,40.174.778,,,563171.0,610.0,27456.0,226348.0,497472.0,40174778.0
Tài sản Có khác (*),Ngày 31 tháng 12 năm 2022 > Tài sản Có khác (*),Tài sản Có khác (*),46.456,,12.524.505,5.507.785,17.940.292,1.193.222,2.962.518,,46456.0,,12524505.0,5507785.0,17940292.0,1193222.0,2962518.0,
Tổng tài sản,Ngày 31 tháng 12 năm 2022 > Tổng tài sản,Tổng tài sản,4.450.647,7.386.909,76.535.363,46.708.650,168.416.033,57.071.414,58.901.789,419.470.805,4450647.0,7386909.0,76535363.0,46708650.0,168416033.0,57071414.0,58901789.0,419470805.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,,,8.779.197,2.000.033,4.327,37.701,,10.821.258,,,8779197.0,2000033.0,4327.0,37701.0,,10821258.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,,,46.765.374,15.982.135,21.239.613,8.666.078,,92.653.200,,,46765374.0,15982135.0,21239613.0,8666078.0,,92653200.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,,,53.921.619,43.790.834,115.876.482,2.208.185,54,215.797.174,,,53921619.0,43790834.0,115876482.0,2208185.0,54.0,215797174.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,,,(4.153),129.649,100.984,,,226.480,,,-4153.0,129649.0,100984.0,,,226480.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",,,,68.218,68.218,545.868,2.177.851,2.860.155,,,,68218.0,68218.0,545868.0,2177851.0,2860155.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,,,,341.000,12.930.951,28.060.255,2.829.434,44.161.640,,,,341000.0,12930951.0,28060255.0,2829434.0,44161640.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,,,4.656.197,1.580.711,4.507.075,14.235,12,10.758.230,,,4656197.0,1580711.0,4507075.0,14235.0,12.0,10758230.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,114.118.234,63.892.580,154.727.650,39.532.322,5.007.351,377.278.137,,,114118234.0,63892580.0,154727650.0,39532322.0,5007351.0,377278137.0
