row_label_raw,row_label_full,col_0,Vốn điều lệ Triệu đồng,Thặng dư vốn cổ phần Triệu đồng,Cổ phiếu quỹ Triệu đồng,Quỹ dự phòng tài chính Triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ Triệu đồng,Các quỹ khác Triệu đồng,Tổng cộng Quỹ của TCTD Triệu đồng,Vốn đầu tư xây dựng cơ bản Triệu đồng,Lợi nhuận chưa phân phối Triệu đồng,Lợi ích cổ đông không kiểm soát Triệu đồng,Tổng cộng Triệu đồng,numeric__Vốn điều lệ Triệu đồng,numeric__Thặng dư vốn cổ phần Triệu đồng,numeric__Cổ phiếu quỹ Triệu đồng,numeric__Quỹ dự phòng tài chính Triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ Triệu đồng,numeric__Các quỹ khác Triệu đồng,numeric__Tổng cộng Quỹ của TCTD Triệu đồng,numeric__Vốn đầu tư xây dựng cơ bản Triệu đồng,numeric__Lợi nhuận chưa phân phối Triệu đồng,numeric__Lợi ích cổ đông không kiểm soát Triệu đồng,numeric__Tổng cộng Triệu đồng
Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,20.072.906,535.956,(413.448),1.709.175,725.779,112.511,2.547.465,89,6.290.473,1.756.672,30.790.113,20072906.0,535956.0,-413448.0,1709175.0,725779.0,112511.0,2547465.0,89.0,6290473.0,1756672.0,30790113.0
Tăng trong năm (i),Tăng trong năm (i),Tăng trong năm (i),200.000,-,-,-,-,-,-,-,-,-,200.000,200000.0,,,,,,,,,,200000.0
Góp vốn từ cổ đông không kiểm soát,Góp vốn từ cổ đông không kiểm soát,Góp vốn từ cổ đông không kiểm soát,-,-,-,-,-,-,-,-,-,175.000,175.000,,,,,,,,,,175000.0,175000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,-,7.749.794,459.676,8.209.470,,,,,,,,,7749794.0,459676.0,8209470.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,-,647.465,324.881,25.000,997.346,-,(997.346),-,-,,,,647465.0,324881.0,25000.0,997346.0,,-997346.0,,
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,-,(10.000),-,(10.000),,,,,,,,,-10000.0,,-10000.0
Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,-,-,-,-,-,(10.262),(10.262),-,-,-,(10.262),,,,,,-10262.0,-10262.0,,,,-10262.0
Chia cổ tức bằng cổ phiếu (ii),Chia cổ tức bằng cổ phiếu (ii),Chia cổ tức bằng cổ phiếu (ii),5.030.523,-,-,-,-,-,-,-,(5.030.523),-,-,5030523.0,,,,,,,,-5030523.0,,
Chia cổ tức trong năm từ công ty con,Chia cổ tức trong năm từ công ty con,Chia cổ tức trong năm từ công ty con,-,-,-,-,-,-,-,-,-,(350.000),(350.000),,,,,,,,,,-350000.0,-350000.0
Khác,Khác,Khác,-,-,-,(4.549),(2.273),-,(6.822),-,(2.613),-,(9.435),,,,-4549.0,-2273.0,,-6822.0,,-2613.0,,-9435.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,25.303.429,535.956,(413.448),2.352.091,1.048.387,127.249,3.527.727,89,7.999.785,2.041.348,38.994.886,25303429.0,535956.0,-413448.0,2352091.0,1048387.0,127249.0,3527727.0,89.0,7999785.0,2041348.0,38994886.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,-,10.070.898,265.115,10.336.013,,,,,,,,,10070898.0,265115.0,10336013.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,-,790.110,395.722,25.000,1.210.832,-,(1.210.832),-,-,,,,790110.0,395722.0,25000.0,1210832.0,,-1210832.0,,
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,-,(10.000),-,(10.000),,,,,,,,,-10000.0,,-10000.0
Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,-,-,-,-,-,(30.316),(30.316),-,-,-,(30.316),,,,,,-30316.0,-30316.0,,,,-30316.0
Chia cổ tức bằng cổ phiếu (iii),Chia cổ tức bằng cổ phiếu (iii),Chia cổ tức bằng cổ phiếu (iii),3.772.892,-,-,-,-,-,-,-,(3.772.892),-,-,3772892.0,,,,,,,,-3772892.0,,
Chia cổ tức bằng tiền mất (iv),Chia cổ tức bằng tiền mất (iv),Chia cổ tức bằng tiền mất (iv),-,-,-,-,-,-,-,-,(2.515.261),-,(2.515.261),,,,,,,,,-2515261.0,,-2515261.0
Chia cổ tức trong năm từ công ty con,Chia cổ tức trong năm từ công ty con,Chia cổ tức trong năm từ công ty con,-,-,-,-,-,-,-,-,-,(375.000),(375.000),,,,,,,,,,-375000.0,-375000.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,29.076.321,535.956,(413.448),3.142.201,1.444.109,121.933,4.708.243,89,10.561.698,1.931.463,46.400.322,29076321.0,535956.0,-413448.0,3142201.0,1444109.0,121933.0,4708243.0,89.0,10561698.0,1931463.0,46400322.0
