row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày 31 tháng 12 năm > 2023Triệu đồng,Tại ngày 31 tháng 12 năm > 2022Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2023Triệu đồng,numeric__Tại ngày 31 tháng 12 năm > 2022Triệu đồng
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNN,13,26.590,10.821.258,,13.0,26590.0,10821258.0
1,B > 1,1,"Tiền gửi và vay Chính phủ, NHNN",,26.590,10.821.258,,,26590.0,10821258.0
II,B > II,II,Tiền gửi và vay các TCTD khác,,112.086.978,92.653.200,,,112086978.0,92653200.0
1,B > 1,1,Tiền gửi của các TCTD khác,14.1,62.597.686,49.440.640,,141.0,62597686.0,49440640.0
2,B > 2,2,Vay các TCTD khác,14.2,49.489.292,43.212.560,,142.0,49489292.0,43212560.0
III,B > III,III,Tiền gửi của khách hàng,15,370.777.888,215.797.174,,15.0,370777888.0,215797174.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,7,-,226.480,,7.0,,226480.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",16,2.811.129,2.860.155,,16.0,2811129.0,2860155.0
VI,B > VI,VI,Phát hành giấy tờ có giá,17,50.938.148,44.161.640,,17.0,50938148.0,44161640.0
VII,B > VII,VII,Các khoản nợ khác,18,19.273.804,10.758.230,,18.0,19273804.0,10758230.0
1,B > 1,1,"Các khoản lãi, phí phải trả",18.1,10.346.499,5.052.933,,181.0,10346499.0,5052933.0
3,B > 3,3,Các khoản phải trả và công nợ khác,18.2,8.927.305,5.705.297,,182.0,8927305.0,5705297.0
,,,TỔNG NỘ PHẢI TRẢ,,555.914.537,377.278.137,,,555914537.0,377278137.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,19,46.400.322,38.994.886,,19.0,46400322.0,38994886.0
1,B > 1,1,Vốn của TCTD,,29.198.918,25.426.026,,,29198918.0,25426026.0
a,B > a,a,Vốn điều lệ,,29.076.321,25.303.429,,,29076321.0,25303429.0
b,B > b,b,Vốn đầu tư xây dựng cơ bản,,89,89,,,89.0,89.0
c,B > c,c,Thặng dư vốn cổ phần,,535.956,535.956,,,535956.0,535956.0
d,B > d,d,Cổ phiếu quỹ,,(413.448),(413.448),,,-413448.0,-413448.0
2,B > 2,2,Quỹ của TCTD,,4.708.243,3.527.727,,,4708243.0,3527727.0
5,B > 5,5,Lợi nhuận chưa phân phối,,10.561.698,7.999.785,,,10561698.0,7999785.0
6,B > 6,6,Lợi ích cổ đông không kiểm soát,,1.931.463,2.041.348,,,1931463.0,2041348.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,46.400.322,38.994.886,,,46400322.0,38994886.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,602.314.859,416.273.023,,,602314859.0,416273023.0
