row_label_raw,row_label_full,Chỉ tiêu,Số đầu năm > VND,Số phải nộp trong năm > VND,Số đã thực nộp trong năm > VND,Số cuối năm > VND,numeric__Số đầu năm > VND,numeric__Số phải nộp trong năm > VND,numeric__Số đã thực nộp trong năm > VND,numeric__Số cuối năm > VND
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
"Thuế xuất, nhập khẩu","a. Các khoản phải thu > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",665.094.257,13.892.998.858,13.426.952.749,199.048.148,665094257.0,13892998858.0,13426952749.0,199048148.0
Thuế thu nhập doanh nghiệp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.311.858.016,158.261.805,-,3.153.596.211,3311858016.0,158261805.0,,3153596211.0
Thuế thu nhập cá nhân,a. Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,229.677.964,179.790.685,190.669.751,240.557.030,229677964.0,179790685.0,190669751.0,240557030.0
Thuế nhà thầu,a. Các khoản phải thu > Thuế nhà thầu,Thuế nhà thầu,2.095.094.815,24.025.810.460,24.043.441.949,2.112.726.304,2095094815.0,24025810460.0,24043441949.0,2112726304.0
- Thuế GTGT nộp thay nhà thầu,a. Các khoản phải thu > - Thuế GTGT nộp thay nhà thầu,- Thuế GTGT nộp thay nhà thầu,2.095.094.815,24.025.810.460,24.025.810.460,2.095.094.815,2095094815.0,24025810460.0,24025810460.0,2095094815.0
- Thuế TNDN nộp thay nhà thầu,a. Các khoản phải thu > - Thuế TNDN nộp thay nhà thầu,- Thuế TNDN nộp thay nhà thầu,-,-,17.631.489,17.631.489,,,17631489.0,17631489.0
Tiền thuê đất,a. Các khoản phải thu > Tiền thuê đất,Tiền thuê đất,-,-,28.108.947,28.108.947,,,28108947.0,28108947.0
,,,6.301.725.052,38.256.861.808,37.689.173.396,5.734.036.640,6301725052.0,38256861808.0,37689173396.0,5734036640.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,497.438.798.068,5.943.229.994.533,5.663.990.231.012,776.678.561.589,497438798068.0,5943229994533.0,5663990231012.0,776678561589.0
- Thuế GTGT đầu ra,b. Các khoản phải trả > - Thuế GTGT đầu ra,- Thuế GTGT đầu ra,497.438.798.068,4.086.320.882.907,3.807.081.119.399,776.678.561.576,497438798068.0,4086320882907.0,3807081119399.0,776678561576.0
- Thuế GTGT hàng nhập khẩu,b. Các khoản phải trả > - Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,-,1.856.909.111.626,1.856.909.111.613,13,,1856909111626.0,1856909111613.0,13.0
Thuế tiêu thụ đặc biệt,b. Các khoản phải trả > Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,434.881.420.237,4.869.434.288.508,4.573.359.643.748,730.956.064.997,434881420237.0,4869434288508.0,4573359643748.0,730956064997.0
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,498.174.090,332.001.308.640,193.399.003.064,139.100.479.666,498174090.0,332001308640.0,193399003064.0,139100479666.0
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.485.706.543,44.433.108.049,43.744.411.418,3.174.403.174,2485706543.0,44433108049.0,43744411418.0,3174403174.0
Các loại thuế khác,b. Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,16.032.554.306,151.980.506.679,159.308.980.774,8.704.080.211,16032554306.0,151980506679.0,159308980774.0,8704080211.0
,,,951.336.653.244,11.341.079.206.409,10.633.802.270.016,1.658.613.589.637,951336653244.0,11341079206409.0,10633802270016.0,1658613589637.0
