row_label_raw,row_label_full,col_0,Số cuối năm > Giá trịVND,Số cuối năm > Số có khả năngtrả nợVND,Số đầu năm > Giá trịVND,Số đầu năm > Số có khả năngtrả nợVND,numeric__Số cuối năm > Giá trịVND,numeric__Số cuối năm > Số có khả năngtrả nợVND,numeric__Số đầu năm > Giá trịVND,numeric__Số đầu năm > Số có khả năngtrả nợVND
a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,,,,
Công ty Liên doanh điều hành Cửu Long,a. Các khoản phải trả người bán ngắn hạn > Công ty Liên doanh điều hành Cửu Long,Công ty Liên doanh điều hành Cửu Long,1.518.204.462.877,1.518.204.462.877,1.090.409.294.550,1.090.409.294.550,1518204462877.0,1518204462877.0,1090409294550.0,1090409294550.0
Vitol Asia Pte. Ltd.,a. Các khoản phải trả người bán ngắn hạn > Vitol Asia Pte. Ltd.,Vitol Asia Pte. Ltd.,1.321.967.983.680,1.321.967.983.680,317.805.955.066,317.805.955.066,1321967983680.0,1321967983680.0,317805955066.0,317805955066.0
Công ty Điều hành chung Hoàng Long,a. Các khoản phải trả người bán ngắn hạn > Công ty Điều hành chung Hoàng Long,Công ty Điều hành chung Hoàng Long,979.173.722.187,979.173.722.187,227.776.301.765,227.776.301.765,979173722187.0,979173722187.0,227776301765.0,227776301765.0
Công ty Dầu khí Việt Nhật,a. Các khoản phải trả người bán ngắn hạn > Công ty Dầu khí Việt Nhật,Công ty Dầu khí Việt Nhật,721.253.890.334,721.253.890.334,23.755.332.894,23.755.332.894,721253890334.0,721253890334.0,23755332894.0,23755332894.0
Công ty Điều hành chung Thăng Long,a. Các khoản phải trả người bán ngắn hạn > Công ty Điều hành chung Thăng Long,Công ty Điều hành chung Thăng Long,153.306.529.836,153.306.529.836,142.515.541.416,142.515.541.416,153306529836.0,153306529836.0,142515541416.0,142515541416.0
Shell International Eastern Trading Company,a. Các khoản phải trả người bán ngắn hạn > Shell International Eastern Trading Company,Shell International Eastern Trading Company,44.035.706,44.035.706,822.056.487.659,822.056.487.659,44035706.0,44035706.0,822056487659.0,822056487659.0
Socar Trading Singapore Pte. Ltd.,a. Các khoản phải trả người bán ngắn hạn > Socar Trading Singapore Pte. Ltd.,Socar Trading Singapore Pte. Ltd.,18.678.000,18.678.000,1.254.592.557.174,1.254.592.557.174,18678000.0,18678000.0,1254592557174.0,1254592557174.0
Các đối tượng khác,a. Các khoản phải trả người bán ngắn hạn > Các đối tượng khác,Các đối tượng khác,331.512.964.511,331.512.964.511,531.438.963.902,531.438.963.902,331512964511.0,331512964511.0,531438963902.0,531438963902.0
b. Phải trả người bán là các bên liên quan(chi tiết tại Thuyết minh số 35),a. Các khoản phải trả người bán ngắn hạn > b. Phải trả người bán là các bên liên quan(chi tiết tại Thuyết minh số 35),b. Phải trả người bán là các bên liên quan(chi tiết tại Thuyết minh số 35),4.424.405.529.589,4.424.405.529.589,2.594.580.287.859,2.594.580.287.859,4424405529589.0,4424405529589.0,2594580287859.0,2594580287859.0
,,,9.449.887.796.720,9.449.887.796.720,7.004.930.722.285,7.004.930.722.285,9449887796720.0,9449887796720.0,7004930722285.0,7004930722285.0
