row_label_raw,row_label_full,Chỉ tiêu,Sản phẩm lọc hóa dầu VND,Nhiên liệu sinh học VND,Sản xuất bao bì và thương mại dịch vụ VND,Loại trừ nội bộ VND,Tổng VND,numeric__Sản phẩm lọc hóa dầu VND,numeric__Nhiên liệu sinh học VND,numeric__Sản xuất bao bì và thương mại dịch vụ VND,numeric__Loại trừ nội bộ VND,numeric__Tổng VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tài sản bộ phận,Tài sản > Tài sản bộ phận,Tài sản bộ phận,65.476.144.764.237,1.277.250.546.602,336.241.904.403,(293.974.486.593),66.795.662.728.649,65476144764237.0,1277250546602.0,336241904403.0,-293974486593.0,66795662728649.0
Tổng Tài sản hợp nhất,Tài sản > Tổng Tài sản hợp nhất,Tổng Tài sản hợp nhất,65.476.144.764.237,1.277.250.546.602,336.241.904.403,(293.974.486.593),66.795.662.728.649,65476144764237.0,1277250546602.0,336241904403.0,-293974486593.0,66795662728649.0
Nguồn vốn,Nguồn vốn,Nguồn vốn,,,,,,,,,,
Nợ phải trả bộ phận,Nguồn vốn > Nợ phải trả bộ phận,Nợ phải trả bộ phận,27.837.837.314.332,1.388.213.947.060,143.533.078.899,(137.726.603.753),29.231.857.736.538,27837837314332.0,1388213947060.0,143533078899.0,-137726603753.0,29231857736538.0
Vốn chủ sở hữu bộ phận,Nguồn vốn > Vốn chủ sở hữu bộ phận,Vốn chủ sở hữu bộ phận,37.638.307.449.905,(110.963.400.458),192.708.825.504,(156.247.882.840),37.563.804.992.111,37638307449905.0,-110963400458.0,192708825504.0,-156247882840.0,37563804992111.0
Tổng Nguồn vốn hợp nhất,Nguồn vốn > Tổng Nguồn vốn hợp nhất,Tổng Nguồn vốn hợp nhất,65.476.144.764.237,1.277.250.546.602,336.241.904.403,(293.974.486.593),66.795.662.728.649,65476144764237.0,1277250546602.0,336241904403.0,-293974486593.0,66795662728649.0
Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2020,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2020,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2020,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2020,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2020,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2020,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2020,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2020,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Sản phẩm lọc hóa dầu VND,Nhiên liệu sinh học VND,Sản xuất bao bì và thương mại dịch vụ VND,Loại trừ nội bộ VND,Tổng VND,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tài sản bộ phận,Tài sản > Tài sản bộ phận,Tài sản bộ phận,54.509.262.241.492,1.354.289.365.935,234.275.973.870,(202.893.510.224),55.894.934.071.073,54509262241492.0,1354289365935.0,234275973870.0,-202893510224.0,55894934071073.0
Tổng Tài sản hợp nhất,Tài sản > Tổng Tài sản hợp nhất,Tổng Tài sản hợp nhất,54.509.262.241.492,1.354.289.365.935,234.275.973.870,(202.893.510.224),55.894.934.071.073,54509262241492.0,1354289365935.0,234275973870.0,-202893510224.0,55894934071073.0
Nguồn vốn,Nguồn vốn,Nguồn vốn,,,,,,,,,,
Nợ phải trả bộ phận,Nguồn vốn > Nợ phải trả bộ phận,Nợ phải trả bộ phận,23.470.716.632.561,1.362.635.328.507,43.611.654.952,(46.568.475.869),24.830.395.140.151,23470716632561.0,1362635328507.0,43611654952.0,-46568475869.0,24830395140151.0
Vốn chủ sở hữu bộ phận,Nguồn vốn > Vốn chủ sở hữu bộ phận,Vốn chủ sở hữu bộ phận,31.038.545.608.931,(8.345.962.572),190.664.318.918,(156.325.034.355),31.064.538.930.922,31038545608931.0,-8345962572.0,190664318918.0,-156325034355.0,31064538930922.0
Tổng Nguồn vốn hợp nhất,Nguồn vốn > Tổng Nguồn vốn hợp nhất,Tổng Nguồn vốn hợp nhất,54.509.262.241.492,1.354.289.365.935,234.275.973.870,(202.893.510.224),55.894.934.071.073,54509262241492.0,1354289365935.0,234275973870.0,-202893510224.0,55894934071073.0
