row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,44.544.299.212.274,29.997.221.937.511,,100.0,,44544299212274.0,29997221937511.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,16.345.674.140.133,12.792.513.572.897,,110.0,4.0,16345674140133.0,12792513572897.0
1.,1.,1.,Tiền,111,,387.671.763.174,292.781.195.938,,111.0,,387671763174.0,292781195938.0
2.,2.,2.,Các khoản tương đương tiền,112,,15.958.002.376.959,12.499.732.376.959,,112.0,,15958002376959.0,12499732376959.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,4.189.568.840.000,958.166.010.000,,120.0,5.0,4189568840000.0,958166010000.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,4.189.568.840.000,958.166.010.000,,123.0,,4189568840000.0,958166010000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,13.600.571.686.422,7.814.097.149.495,,130.0,,13600571686422.0,7814097149495.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,13.251.103.741.666,7.634.855.260.194,,131.0,6.0,13251103741666.0,7634855260194.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,250.147.088.085,116.448.291.921,,132.0,7.0,250147088085.0,116448291921.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,96.987.604.392,59.259.160.457,,136.0,8.0,96987604392.0,59259160457.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,,(364.458.330),(869.272.576),,137.0,,-364458330.0,-869272576.0
5.,5.,5.,Tài sản thiếu chờ xử lý,139,,2.697.710.609,4.403.709.499,,139.0,,2697710609.0,4403709499.0
IV.,IV.,IV.,Hàng tồn kho,140,9,10.358.095.365.157,8.386.688.832.594,,140.0,9.0,10358095365157.0,8386688832594.0
1.,1.,1.,Hàng tồn kho,141,,10.376.585.353.744,8.408.722.284.068,,141.0,,10376585353744.0,8408722284068.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(18.489.988.587),(22.033.451.474),,149.0,,-18489988587.0,-22033451474.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,50.389.180.562,45.756.372.525,,150.0,,50389180562.0,45756372525.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,10,44.655.143.922,39.320.620.505,,151.0,10.0,44655143922.0,39320620505.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,-,134.026.968,,152.0,,,134026968.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,13,5.734.036.640,6.301.725.052,,153.0,13.0,5734036640.0,6301725052.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,22.251.363.516.375,25.897.712.133.562,,200.0,,22251363516375.0,25897712133562.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,533.509.547.749,533.509.547.749,,210.0,,533509547749.0,533509547749.0
1.,1.,1.,Trả trước cho người bán dài hạn,212,7,533.509.547.749,533.509.547.749,,212.0,7.0,533509547749.0,533509547749.0
II.,II.,II.,Tài sản cố định,220,,20.136.092.225.647,22.375.534.551.416,,220.0,,20136092225647.0,22375534551416.0
1.,1.,1.,Tài sản cố định hữu hình,221,11,19.918.067.649.633,22.092.837.391.026,,221.0,11.0,19918067649633.0,22092837391026.0
,,,- Nguyên giá,222,,47.445.942.979.103,47.379.785.624.357,,222.0,,47445942979103.0,47379785624357.0
,,,- Giá trị hao mòn lũy kế,223,,(27.527.875.329.470),(25.286.948.233.331),,223.0,,-27527875329470.0,-25286948233331.0
2.,2.,2.,Tài sản cố định vô hình,227,12,218.024.576.014,282.697.160.390,,227.0,12.0,218024576014.0,282697160390.0
,,,- Nguyên giá,228,,816.204.682.122,810.943.646.722,,228.0,,816204682122.0,810943646722.0
,,,- Giá trị hao mòn lũy kế,229,,(598.180.106.108),(528.246.486.332),,229.0,,-598180106108.0,-528246486332.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,1.205.504.779.827,1.101.844.765.433,,240.0,,1205504779827.0,1101844765433.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,14,1.205.504.779.827,1.101.844.765.433,,242.0,14.0,1205504779827.0,1101844765433.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,5,9.979.607.564,9.976.262.103,,250.0,5.0,9979607564.0,9976262103.0
1.,1.,1.,Đầu tư góp vốn vào đơn vị khác,253,,11.244.000.000,11.244.000.000,,253.0,,11244000000.0,11244000000.0
2.,2.,2.,Dự phòng đầu tư tài chính dài hạn,254,,(1.264.392.436),(1.267.737.897),,254.0,,-1264392436.0,-1267737897.0
V.,V.,V.,Tài sản dài hạn khác,260,,366.277.355.588,1.876.847.006.861,,260.0,,366277355588.0,1876847006861.0
1.,1.,1.,Chi phí trả trước dài hạn,261,10,320.644.836.279,1.876.839.449.622,,261.0,10.0,320644836279.0,1876839449622.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,33,45.632.519.309,7.557.239,,262.0,33.0,45632519309.0,7557239.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,66.795.662.728.649,55.894.934.071.073,,270.0,,66795662728649.0,55894934071073.0
