row_label_raw,row_label_full,col_0,Nhà xuǒngvà vát kien trúc,Máy mócvà thiét bi,"Phuong tiên vân tǎi,thiet bi truyèn dǎn",Thiet bi vǎn phòng,Tài sán có dinh húu hinh khac,Tóng,numeric__Nhà xuǒngvà vát kien trúc,numeric__Máy mócvà thiét bi,"numeric__Phuong tiên vân tǎi,thiet bi truyèn dǎn",numeric__Thiet bi vǎn phòng,numeric__Tài sán có dinh húu hinh khac,numeric__Tóng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Só dur dàu nám,NGUYÊN GIÁ > Só dur dàu nám,Só dur dàu nám,6.942.429.690.949,39.281.752.716.186,186.894.614.776,562.063.474.033,406.645.128.413,47.379.785.624.357,6942429690949.0,39281752716186.0,186894614776.0,562063474033.0,406645128413.0,47379785624357.0
Mua trong nám,NGUYÊN GIÁ > Mua trong nám,Mua trong nám,187.765.520,41.614.342.017,14.507.211.361,5.945.057.715,-,62.254.376.613,187765520.0,41614342017.0,14507211361.0,5945057715.0,,62254376613.0
Dàu tu xay dung co bànhoàn thanh,NGUYÊN GIÁ > Dàu tu xay dung co bànhoàn thanh,Dàu tu xay dung co bànhoàn thanh,5.154.603.046,-,-,-,-,5.154.603.046,5154603046.0,,,,,5154603046.0
"Thanh ly, nhuong bán","NGUYÊN GIÁ > Thanh ly, nhuong bán","Thanh ly, nhuong bán",-,-,(408.800.000),(842.824.913),-,(1.251.624.913),,,-408800000.0,-842824913.0,,-1251624913.0
Só dur cuǒi nám,NGUYÊN GIÁ > Só dur cuǒi nám,Só dur cuǒi nám,6.947.772.059.515,39.323.367.058.203,200.993.026.137,567.165.706.835,406.645.128.413,47.445.942.979.103,6947772059515.0,39323367058203.0,200993026137.0,567165706835.0,406645128413.0,47445942979103.0
GIÁ TRI HAO MòN LUY KÉ,GIÁ TRI HAO MòN LUY KÉ,GIÁ TRI HAO MòN LUY KÉ,GIÁ TRI HAO MòN LUY KÉ,GIÁ TRI HAO MòN LUY KÉ,GIÁ TRI HAO MòN LUY KÉ,GIÁ TRI HAO MòN LUY KÉ,GIÁ TRI HAO MòN LUY KÉ,GIÁ TRI HAO MòN LUY KÉ,,,,,,
Só dur dàu nám,GIÁ TRI HAO MòN LUY KÉ > Só dur dàu nám,Só dur dàu nám,3.091.312.369.229,21.542.698.637.954,124.031.044.156,415.904.390.186,113.001.791.806,25.286.948.233.331,3091312369229.0,21542698637954.0,124031044156.0,415904390186.0,113001791806.0,25286948233331.0
Khau hao trong nám,GIÁ TRI HAO MòN LUY KÉ > Khau hao trong nám,Khau hao trong nám,223.492.030.238,1.912.350.615.484,12.409.099.465,76.974.404.683,16.260.885.096,2.241.487.034.966,223492030238.0,1912350615484.0,12409099465.0,76974404683.0,16260885096.0,2241487034966.0
Tang khác,GIÁ TRI HAO MòN LUY KÉ > Tang khác,Tang khác,17.294.000,460.036.680,-,214.355.406,-,691.686.086,17294000.0,460036680.0,,214355406.0,,691686086.0
"Thanh ly, nhuong bán","GIÁ TRI HAO MòN LUY KÉ > Thanh ly, nhuong bán","Thanh ly, nhuong bán",-,-,(408.800.000),(842.824.913),-,(1.251.624.913),,,-408800000.0,-842824913.0,,-1251624913.0
Só dur cuǒi nám,GIÁ TRI HAO MòN LUY KÉ > Só dur cuǒi nám,Só dur cuǒi nám,3.314.821.693.467,23.455.509.290.118,136.031.343.621,492.250.325.362,129.262.676.902,27.527.875.329.470,3314821693467.0,23455509290118.0,136031343621.0,492250325362.0,129262676902.0,27527875329470.0
GIÁ TRI CÔN LAI,GIÁ TRI CÔN LAI,GIÁ TRI CÔN LAI,GIÁ TRI CÔN LAI,GIÁ TRI CÔN LAI,GIÁ TRI CÔN LAI,GIÁ TRI CÔN LAI,GIÁ TRI CÔN LAI,GIÁ TRI CÔN LAI,,,,,,
Tái ngay dàu nám,GIÁ TRI CÔN LAI > Tái ngay dàu nám,Tái ngay dàu nám,3.851.117.321.720,17.739.054.078.232,62.863.570.620,146.159.083.847,293.643.336.607,22.092.837.391.026,3851117321720.0,17739054078232.0,62863570620.0,146159083847.0,293643336607.0,22092837391026.0
Tái ngay cuǒi nám,GIÁ TRI CÔN LAI > Tái ngay cuǒi nám,Tái ngay cuǒi nám,3.632.950.366.048,15.867.857.768.085,64.961.682.516,74.915.381.473,277.382.451.511,19.918.067.649.633,3632950366048.0,15867857768085.0,64961682516.0,74915381473.0,277382451511.0,19918067649633.0
