row_label_raw,row_label_full,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quảng Ngãi (i),Số cuối nămVND > 4.306.813.101.195,Số đầu nămVND > 957.457.298.927,numeric__Số cuối nămVND > 4.306.813.101.195,numeric__Số đầu nămVND > 957.457.298.927
Phải trả về nhận thanh toán L/C trước hạn (ii),Phải trả về nhận thanh toán L/C trước hạn (ii),Phải trả về nhận thanh toán L/C trước hạn (ii),582.134.585.221,-,582134585221.0,
Lợi nhuận còn phải trả Tập đoàn Dầu khí Việt Nam,Lợi nhuận còn phải trả Tập đoàn Dầu khí Việt Nam,Lợi nhuận còn phải trả Tập đoàn Dầu khí Việt Nam,417.747.535.419,917.747.535.419,417747535419.0,917747535419.0
Phải trả tiền bán cổ phần (iii),Phải trả tiền bán cổ phần (iii),Phải trả tiền bán cổ phần (iii),9.211.577.795,9.211.577.795,9211577795.0,9211577795.0
"Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",9.567.779.785,4.696.119.070,9567779785.0,4696119070.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,10.542.483.594,16.266.042.626,10542483594.0,16266042626.0
,,,5.336.017.063.009,1.905.378.573.837,5336017063009.0,1905378573837.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả khác cho các bên liên quan(chi tiết tại Thuyết minh số 35),Trong đó: > Phải trả khác cho các bên liên quan(chi tiết tại Thuyết minh số 35),Phải trả khác cho các bên liên quan(chi tiết tại Thuyết minh số 35),418.866.532.061,918.866.532.061,418866532061.0,918866532061.0
