row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
D - VỐN CHỦ SỐ HỮU,D - VỐN CHỦ SỐ HỮU,D - VỐN CHỦ SỐ HỮU,D - VỐN CHỦ SỐ HỮU,400,,1.808.707.986.535,1.715.519.145.707,,400.0,,1808707986535.0,1715519145707.0
I.,I.,I.,Vốn chủ sở hữu,410,,1.808.707.986.535,1.715.519.145.707,,410.0,,1808707986535.0,1715519145707.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,V.23,1.370.973.230.000,1.370.973.230.000,,411.0,,1370973230000.0,1370973230000.0
-,-,-,Cổ phiếu phố thông có quyền biểu quyết,411a,,1.370.973.230.000,1.370.973.230.000,,,,1370973230000.0,1370973230000.0
-,-,-,Cổ phiếu ưu đãi,411b,,-,-,,,,,
2.,- > 2.,2.,Thặng dư vốn cổ phần,412,V.23,10.420.226.000,10.420.226.000,,412.0,,10420226000.0,10420226000.0
3.,- > 3.,3.,Quyền chọn chuyển đổi trái phiếu,413,,-,-,,413.0,,,
4.,- > 4.,4.,Vốn khác của chủ sở hữu,414,,-,-,,414.0,,,
5.,- > 5.,5.,Cổ phiếu quỹ,415,,-,-,,415.0,,,
6.,- > 6.,6.,Chênh lệch đánh giá lại tài sản,416,,-,-,,416.0,,,
7.,- > 7.,7.,Chênh lệch tỷ giá hồi doái,417,,-,-,,417.0,,,
8.,- > 8.,8.,Quỹ đầu tư phát triển,418,V.23,101.805.314.034,93.275.096.257,,418.0,,101805314034.0,93275096257.0
9.,- > 9.,9.,Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,-,-,,419.0,,,
10.,- > 10.,10.,Quỹ khác thuộc vốn chủ sở hữu,420,,-,-,,420.0,,,
11.,- > 11.,11.,Lợi nhuận sau thuế chưa phân phối,421,V.23,325.509.216.501,240.850.593.450,,421.0,,325509216501.0,240850593450.0
-,- > -,-,Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối kỳ trước,421a,,57.140.815.851,240.850.593.450,,,,57140815851.0,240850593450.0
-,- > -,-,Lợi nhuận sau thuế chưa phân phối kỳ này,421b,,268.368.400.650,-,,,,268368400650.0,
12.,- > 12.,12.,Nguồn vốn đầu tư xây dựng cơ bản,422,,-,-,,422.0,,,
II.,- > II.,II.,Nguồn kinh phí và quỹ khác,430,,-,-,,430.0,,,
1.,- > 1.,1.,Nguồn kinh phí,431,,-,-,,431.0,,,
2.,- > 2.,2.,Nguồn kinh phí đã hình thành tài sản cổ định,432,,-,-,,432.0,,,
,,,TỔNG CỘNG NGUỒN VỐN,440,,7.452.226.932.540,8.044.923.579.283,,440.0,,7452226932540.0,8044923579283.0
