row_label_raw,row_label_full,col_0,Lĩnh vực bán vế cầu đường,Lĩnh vực kinh doanh bất động sản,Lĩnh vực kinh doanh bất động sản đầu tư,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các linh vực khác,Cộng,numeric__Lĩnh vực bán vế cầu đường,numeric__Lĩnh vực kinh doanh bất động sản,numeric__Lĩnh vực kinh doanh bất động sản đầu tư,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các linh vực khác,numeric__Cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Doanh thu thuần về bản hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bản hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bản hàng và cung cấp dịch vụ ra bên ngoài,285.904.120.990,882.791.252.511,4.920.000.000,83.242.205.106,18.072.588.542,21.419.303.301,1.296.349.470.450,285904120990.0,882791252511.0,4920000000.0,83242205106.0,18072588542.0,21419303301.0,1296349470450.0
Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phân,Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phân,Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phân,,,,,,,,,,,,,,
Tổng doanh thu thuần về bản hàng và cung cấp dịch vụ,Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phân > Tổng doanh thu thuần về bản hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bản hàng và cung cấp dịch vụ,285.904.120.990,882.791.252.511,4.920.000.000,83.242.205.106,18.072.588.542,21.419.303.301,1.296.349.470.450,285904120990.0,882791252511.0,4920000000.0,83242205106.0,18072588542.0,21419303301.0,1296349470450.0
Kết quả kinh doanh theo bộ phân,Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phân > Kết quả kinh doanh theo bộ phân,Kết quả kinh doanh theo bộ phân,211.008.607.709,141.597.589.787,738.391.318,(1.722.255.304),(7.541.189.235),14.789.853.555,358.870.997.830,211008607709.0,141597589787.0,738391318.0,-1722255304.0,-7541189235.0,14789853555.0,358870997830.0
Các chỉ phi không phân bổ theo bổ phân,Các chỉ phi không phân bổ theo bổ phân,Các chỉ phi không phân bổ theo bổ phân,,,,,,,,,,,,,,
Lợi nhuận từ hoạt động kinh doanh,Các chỉ phi không phân bổ theo bổ phân > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,358.870.997.830,,,,,,,358870997830.0
Doanh thu hoạt động tài chính,Các chỉ phi không phân bổ theo bổ phân > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,49.790.387.314,,,,,,,49790387314.0
Chỉ phí tài chính,Các chỉ phi không phân bổ theo bổ phân > Chỉ phí tài chính,Chỉ phí tài chính,,,,,,,(98.785.626.150),,,,,,,-98785626150.0
Thu nhập khác,Các chỉ phi không phân bổ theo bổ phân > Thu nhập khác,Thu nhập khác,,,,,,,17.524.262.026,,,,,,,17524262026.0
Chỉ phí khác,Các chỉ phi không phân bổ theo bổ phân > Chỉ phí khác,Chỉ phí khác,,,,,,,(13.506.556.795),,,,,,,-13506556795.0
Chỉ phí thuê thu nhập doanh nghiệp hiện hành,Các chỉ phi không phân bổ theo bổ phân > Chỉ phí thuê thu nhập doanh nghiệp hiện hành,Chỉ phí thuê thu nhập doanh nghiệp hiện hành,,,,,,,(45.525.063.575),,,,,,,-45525063575.0
Chỉ phí thuê thu nhập doanh nghiệp hoãn lai,Chỉ phí thuê thu nhập doanh nghiệp hoãn lai,Chỉ phí thuê thu nhập doanh nghiệp hoãn lai,,,,,,,,,,,,,,
Lợi nhuận sau thuê thu nhập doanh nghiệp,Chỉ phí thuê thu nhập doanh nghiệp hoãn lai > Lợi nhuận sau thuê thu nhập doanh nghiệp,Lợi nhuận sau thuê thu nhập doanh nghiệp,,,,,,,268.368.400.650,,,,,,,268368400650.0
Tổng chỉ phí đã phát sinh để mua tài sản cổ định và các tài sản dài hạn khác,Chỉ phí thuê thu nhập doanh nghiệp hoãn lai > Tổng chỉ phí đã phát sinh để mua tài sản cổ định và các tài sản dài hạn khác,Tổng chỉ phí đã phát sinh để mua tài sản cổ định và các tài sản dài hạn khác,50.966.992.319,3.680.193.649,,,,,54.647.185.968,50966992319.0,3680193649.0,,,,,54647185968.0
Tổng chỉ phí khấu hao và phân bổ chỉ phí trả trước dài hạn,Chỉ phí thuê thu nhập doanh nghiệp hoãn lai > Tổng chỉ phí khấu hao và phân bổ chỉ phí trả trước dài hạn,Tổng chỉ phí khấu hao và phân bổ chỉ phí trả trước dài hạn,37.768.538.345,1.008.206.580,7.237.399.800,,,55.377.008,46.069.521.733,37768538345.0,1008206580.0,7237399800.0,,,55377008.0,46069521733.0
