row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,1.370.973.230.000,10.420.226.000,86.402.472.800,180.155.874.798,1.647.951.803.598,1370973230000.0,10420226000.0,86402472800.0,180155874798.0,1647951803598.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,213.255.444.431,213.255.444.431,,,,213255444431.0,213255444431.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,6.872.623.457,(15.463.402.779),(8.590.779.322),,,6872623457.0,-15463402779.0,-8590779322.0
Chia cổ tức trong năm,Chia cổ tức trong năm,Chia cổ tức trong năm,-,-,-,(137.097.323.000),(137.097.323.000),,,,-137097323000.0,-137097323000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,1.370.973.230.000,10.420.226.000,93.275.096.257,240.850.593.450,1.715.519.145.707,1370973230000.0,10420226000.0,93275096257.0,240850593450.0,1715519145707.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,1.370.973.230.000,10.420.226.000,93.275.096.257,240.850.593.450,1.715.519.145.707,1370973230000.0,10420226000.0,93275096257.0,240850593450.0,1715519145707.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,268.368.400.650,268.368.400.650,,,,268368400650.0,268368400650.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,8.530.217.777,(19.192.989.999),(10.662.772.222),,,8530217777.0,-19192989999.0,-10662772222.0
Chia cổ tức trong năm,Chia cổ tức trong năm,Chia cổ tức trong năm,-,-,-,(164.516.787.600),(164.516.787.600),,,,-164516787600.0,-164516787600.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,1.370.973.230.000,10.420.226.000,101.805.314.034,325.509.216.501,1.808.707.986.535,1370973230000.0,10420226000.0,101805314034.0,325509216501.0,1808707986535.0
