row_label_raw,row_label_full,1.,"Tiền chi đề mua sám, xây dựng tải sản cố định và các tải sản dài hạn khác",21 V.8; V.11; V.II,(43.499.807.352),(24.349.477.786),"numeric__Tiền chi đề mua sám, xây dựng tải sản cố định và các tải sản dài hạn khác",numeric__21 V.8; V.11; V.II,numeric__(43.499.807.352),numeric__(24.349.477.786)
2.,2.,2.,"Tiền thu từ thanh lý, nhượng bán tải sản cố định và các tải sản dài hạn khác",22,,,,22.0,,
3.,3.,3.,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,,,23.0,,
4.,4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,,,24.0,,
5.,5.,5.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,,,,25.0,,
6.,6.,6.,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,,,26.0,,
7.,7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27 V.4;Vl.4,59.482.724.139,16.184.988.008,,,59482724139.0,16184988008.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,15.982.916.787,(8.164.489.778),,30.0,15982916787.0,-8164489778.0
