row_label_raw,row_label_full,col_0,Số cuối năm > Thời gianquá hạn,Số cuối năm > Giá gốc,Số cuối năm > Giá trị cóthể thu hồi,Số đầu năm > Thời gianquá hạn,Số đầu năm > Giá gốc,Số đầu năm > Giá trị cóthể thu hồi,numeric__Số cuối năm > Thời gianquá hạn,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị cóthể thu hồi,numeric__Số đầu năm > Thời gianquá hạn,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị cóthể thu hồi
Các bên liên quan,Các bên liên quan,Các bên liên quan,,123.758.942.800,123.758.942.800,,135.655.392.800,135.655.392.800,,123758942800.0,123758942800.0,,135655392800.0,135655392800.0
Tổng Công ty Đầu tu và Phát triểnCông nghiệp - CTCP,Tổng Công ty Đầu tu và Phát triểnCông nghiệp - CTCP,Tổng Công ty Đầu tu và Phát triểnCông nghiệp - CTCP,,,,,,,,,,,,
Phải thu tiền bánbất động sản,Tổng Công ty Đầu tu và Phát triểnCông nghiệp - CTCP > Phải thu tiền bánbất động sản,Phải thu tiền bánbất động sản,,-,-,Dưới 06tháng,7.492.324.000,7.492.324.000,,,,,7492324000.0,7492324000.0
Phải thu tiền bánbất động sản,Tổng Công ty Đầu tu và Phát triểnCông nghiệp - CTCP > Phải thu tiền bánbất động sản,Phải thu tiền bánbất động sản,,,,Từ 06 thángđến 01 năm,4.404.126.000,4.404.126.000,,,,,4404126000.0,4404126000.0
Công ty Cổ phầnPhát triển Đô thị,Công ty Cổ phầnPhát triển Đô thị,Công ty Cổ phầnPhát triển Đô thị,,,,,,,,,,,,
Phải thu tiền bánbất động sản,Công ty Cổ phầnPhát triển Đô thị > Phải thu tiền bánbất động sản,Phải thu tiền bánbất động sản,Từ 06 thángđến 01 năm,-,-,Từ 06 thángđến 01 năm,54.586.314.000,54.586.314.000,,,,,54586314000.0,54586314000.0
Phải thu tiền bánbất động sản,Công ty Cổ phầnPhát triển Đô thị > Phải thu tiền bánbất động sản,Phải thu tiền bánbất động sản,Từ 01 đến 02năm,54.586.314.000,54.586.314.000,Từ 01 đến 02năm,69.172.628.800,69.172.628.800,,54586314000.0,54586314000.0,,69172628800.0,69172628800.0
Phải thu tiền bánbất động sản,Công ty Cổ phầnPhát triển Đô thị > Phải thu tiền bánbất động sản,Phải thu tiền bánbất động sản,Từ 02 đến 03năm,69.172.628.800,69.172.628.800,Từ 02 đến03 năm,-,-,,69172628800.0,69172628800.0,,,
Các tổ chức và cá. nhân khác,Công ty Cổ phầnPhát triển Đô thị > Các tổ chức và cá. nhân khác,Các tổ chức và cá. nhân khác,,488.267.942.889,488.267.942.889,,429.353.370.210,429.353.370.210,,488267942889.0,488267942889.0,,429353370210.0,429353370210.0
Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,,,,,,,,,,,,
Phải thu tiền bánbất động sản,Phải thu các tổ chức và cá nhân khác > Phải thu tiền bánbất động sản,Phải thu tiền bánbất động sản,Dưới 06tháng,64.775.087.655,64.775.087.655,Dưới 06tháng,63.707.466.242,63.707.466.242,,64775087655.0,64775087655.0,,63707466242.0,63707466242.0
Phải thu tiền bánbất động sản,Phải thu các tổ chức và cá nhân khác > Phải thu tiền bánbất động sản,Phải thu tiền bánbất động sản,Từ 06 thángđến 01 năm,40.124.111.780,40.124.111.780,Từ 06 thángđến 01 năm,38.210.356.999,38.210.356.999,,40124111780.0,40124111780.0,,38210356999.0,38210356999.0
Phải thu tiền bánbất động sản,Phải thu các tổ chức và cá nhân khác > Phải thu tiền bánbất động sản,Phải thu tiền bánbất động sản,Từ 01 đến 02năm,83.233.028.575,83.233.028.575,Từ 01 đến 02năm,82.588.296.720,82.588.296.720,,83233028575.0,83233028575.0,,82588296720.0,82588296720.0
Phải thu tiền bánbất động sản,Phải thu các tổ chức và cá nhân khác > Phải thu tiền bánbất động sản,Phải thu tiền bánbất động sản,Từ 02 đến 03năm,69.065.293.259,69.065.293.259,Từ 02 đến 03năm,78.243.438.637,78.243.438.637,,69065293259.0,69065293259.0,,78243438637.0,78243438637.0
Phải thu tiền bánbất động sản,Phải thu các tổ chức và cá nhân khác > Phải thu tiền bánbất động sản,Phải thu tiền bánbất động sản,Trên 03 năm,231.070.421.620,231.070.421.620,Trên 03 năm,166.603.811.612,166.603.811.612,,231070421620.0,231070421620.0,,166603811612.0,166603811612.0
Cộng,Phải thu các tổ chức và cá nhân khác > Cộng,Cộng,,612.026.885.689,612.026.885.689,,565.008.763.010,565.008.763.010,,612026885689.0,612026885689.0,,565008763010.0,565008763010.0
