row_label_raw,row_label_full,col_0,Lĩnh vực bán vế câu dưỡng,Lĩnh vực kinh doanh bất động sản,Lĩnh vực kinh doanh bất động sản đầu tư,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các linh vực khác,Cộng,numeric__Lĩnh vực bán vế câu dưỡng,numeric__Lĩnh vực kinh doanh bất động sản,numeric__Lĩnh vực kinh doanh bất động sản đầu tư,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các linh vực khác,numeric__Cộng
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,,,,,
Tài sản trục tiếp của bộ phân,Số cuối năm > Tài sản trục tiếp của bộ phân,Tài sản trục tiếp của bộ phân,521.858.674.547,6.147.325.182.846,192.778.295.552,9.179.441.690,478.698.783.999,109.227.571,7.349.949.606.205,521858674547.0,6147325182846.0,192778295552.0,9179441690.0,478698783999.0,109227571.0,7349949606205.0
Các tài sản không phân bổ theo bộ phân,Số cuối năm > Các tài sản không phân bổ theo bộ phân,Các tài sản không phân bổ theo bộ phân,,,,,,,102.277.326.335,,,,,,,102277326335.0
Tổng tài sản,Số cuối năm > Tổng tài sản,Tổng tài sản,,,,,,,7.452.226.932.540,,,,,,,7452226932540.0
Nợ phải trả trục tiếp của bộ phân,Số cuối năm > Nợ phải trả trục tiếp của bộ phân,Nợ phải trả trục tiếp của bộ phân,37.571.982.641,3.967.022.325.737,4.098.666.418,75.354.985.359,,,4.084.047.960.155,37571982641.0,3967022325737.0,4098666418.0,75354985359.0,,,4084047960155.0
Nợ phải trả không phân bổ theo bộ phân,Số cuối năm > Nợ phải trả không phân bổ theo bộ phân,Nợ phải trả không phân bổ theo bộ phân,,,,,,,1.559.470.985.850,,,,,,,1559470985850.0
Tổng nợ phải trả,Số cuối năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,5.643.518.946.005,,,,,,,5643518946005.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,,
Tài sản trục tiếp của bộ phân,Số đầu năm > Tài sản trục tiếp của bộ phân,Tài sản trục tiếp của bộ phân,503.316.058.916,6.560.406.115.731,166.420.664.827,27.679.998.375,486.232.318.315,15.728.597.222,7.759.783.753.386,503316058916.0,6560406115731.0,166420664827.0,27679998375.0,486232318315.0,15728597222.0,7759783753386.0
Các tài sản không phân bổ theo bộ phân,Số đầu năm > Các tài sản không phân bổ theo bộ phân,Các tài sản không phân bổ theo bộ phân,,,,,,,285.139.825.897,,,,,,,285139825897.0
Tổng tài sản,Số đầu năm > Tổng tài sản,Tổng tài sản,,,,,,,8.044.923.579.283,,,,,,,8044923579283.0
Nợ phải trả trục tiếp của bộ phân,Số đầu năm > Nợ phải trả trục tiếp của bộ phân,Nợ phải trả trục tiếp của bộ phân,18.612.665.749,4.540.920.692.850,196.541.679.804,112.493.929.298,48.972.147.185,,4.917.541.114.886,18612665749.0,4540920692850.0,196541679804.0,112493929298.0,48972147185.0,,4917541114886.0
Nợ phải trả không phân bổ theo bộ phân,Số đầu năm > Nợ phải trả không phân bổ theo bộ phân,Nợ phải trả không phân bổ theo bộ phân,,,,,,,1.411.863.318.690,,,,,,,1411863318690.0
Tổng nợ phải trả,Số đầu năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,6.329.404.433.576,,,,,,,6329404433576.0
