row_label_raw,row_label_full,col_0,Kinh doanhBất động sản vàxây dựng,"Sản xuất vàkinh doanh Kính,Sử, Sen vòi",Thương mại vàdịch vụ khác,Tổng cộng cácbộ phận,Loại trừ,Tổng cộng toànDoanh nghiệp,numeric__Kinh doanhBất động sản vàxây dựng,"numeric__Sản xuất vàkinh doanh Kính,Sử, Sen vòi",numeric__Thương mại vàdịch vụ khác,numeric__Tổng cộng cácbộ phận,numeric__Loại trừ,numeric__Tổng cộng toànDoanh nghiệp
,,,VND,VND,VND,VND,VND,VND,,,,,,
Doanh thu thuần từ bán hàng và dịchvụ,Doanh thu thuần từ bán hàng và dịchvụ,Doanh thu thuần từ bán hàng và dịchvụ,2.704.947.927.187,1.468.419.514.471,61.991.237.590,4.235.358.679.248,-,4.235.358.679.248,2704947927187.0,1468419514471.0,61991237590.0,4235358679248.0,,4235358679248.0
Giá vốn của hàng bán ra bên ngoài,Giá vốn của hàng bán ra bên ngoài,Giá vốn của hàng bán ra bên ngoài,1.856.762.279.016,1.292.652.017.857,30.247.104.735,3.179.661.401.608,-,3.179.661.401.608,1856762279016.0,1292652017857.0,30247104735.0,3179661401608.0,,3179661401608.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,848.185.648.171,175.767.496.614,31.744.132.855,1.055.697.277.640,-,1.055.697.277.640,848185648171.0,175767496614.0,31744132855.0,1055697277640.0,,1055697277640.0
Tổng chi phí mua tài sản cố định,Tổng chi phí mua tài sản cố định,Tổng chi phí mua tài sản cố định,1.557.341.028.455,4.307.371.930,-,1.561.648.400.385,-,1.561.648.400.385,1557341028455.0,4307371930.0,,1561648400385.0,,1561648400385.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,15.269.973.538.518,2.569.626.810.655,22.299.624.916,17.861.899.974.089,(3.924.576.389.894),13.937.323.584.195,15269973538518.0,2569626810655.0,22299624916.0,17861899974089.0,-3924576389894.0,13937323584195.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,-,-,1.622.020.488.890,,,,,,1622020488890.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,15.269.973.538.518,2.569.626.810.655,22.299.624.916,17.861.899.974.089,(3.924.576.389.894),15.559.344.073.085,15269973538518.0,2569626810655.0,22299624916.0,17861899974089.0,-3924576389894.0,15559344073085.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,10.872.432.106.648,2.438.719.987.279,20.718.504.752,13.331.870.598.679,(3.926.076.389.893),9.405.794.208.786,10872432106648.0,2438719987279.0,20718504752.0,13331870598679.0,-3926076389893.0,9405794208786.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,10.872.432.106.648,2.438.719.987.279,20.718.504.752,13.331.870.598.679,(3.926.076.389.893),9.405.794.208.786,10872432106648.0,2438719987279.0,20718504752.0,13331870598679.0,-3926076389893.0,9405794208786.0
