row_label_raw,row_label_full,col_0,Từ 1 năm trở xuống,Trên 1 năm đến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 năm trở xuống,numeric__Trên 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,,,,
Tiền và các khoản tương đương tiền,Tại ngày 31/12/2019 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.083.394.044.179,-,-,2.083.394.044.179,2083394044179.0,,,2083394044179.0
"Phải thu khách hàng, phải thu khác","Tại ngày 31/12/2019 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",584.391.369.001,1.778.476.942,-,586.169.845.943,584391369001.0,1778476942.0,,586169845943.0
Các khoản cho vay,Tại ngày 31/12/2019 > Các khoản cho vay,Các khoản cho vay,14.883.443.469,-,-,14.883.443.469,14883443469.0,,,14883443469.0
Cộng,Tại ngày 31/12/2019 > Cộng,Cộng,2.682.668.856.649,1.778.476.942,-,2.684.447.333.591,2682668856649.0,1778476942.0,,2684447333591.0
Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2019 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,845.204.766.775,-,-,845.204.766.775,845204766775.0,,,845204766775.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2019 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",592.690.104.861,2.667.136.180,-,595.357.241.041,592690104861.0,2667136180.0,,595357241041.0
Các khoản cho vay,Tại ngày 01/01/2019 > Các khoản cho vay,Các khoản cho vay,222.352.400.597,-,-,222.352.400.597,222352400597.0,,,222352400597.0
Cộng,Tại ngày 01/01/2019 > Cộng,Cộng,1.660.247.272.233,2.667.136.180,-,1.662.914.408.413,1660247272233.0,2667136180.0,,1662914408413.0
