row_label_raw,row_label_full,col_0,"Phương tiện vận tải,truyền dẫn",Cộng,"numeric__Phương tiện vận tải,truyền dẫn",numeric__Cộng
,,,VND,VND,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,21.914.906.540,21.914.906.540,21914906540.0,21914906540.0
- Thuê tài chính trong năm,Nguyên giá > - Thuê tài chính trong năm,- Thuê tài chính trong năm,1.824.938.582,1.824.938.582,1824938582.0,1824938582.0
- Mua lại TSCĐ thuê tài chính,Nguyên giá > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,(16.142.186.540),(16.142.186.540),-16142186540.0,-16142186540.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,7.597.658.582,7.597.658.582,7597658582.0,7597658582.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,4.068.530.978,4.068.530.978,4068530978.0,4068530978.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,2.092.073.828,2.092.073.828,2092073828.0,2092073828.0
- Mua lại TSCĐ thuê tài chính,Giá trị hao mòn luỹ kế > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,(3.136.206.143),(3.136.206.143),-3136206143.0,-3136206143.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,3.024.398.663,3.024.398.663,3024398663.0,3024398663.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,17.846.375.562,17.846.375.562,17846375562.0,17846375562.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,4.573.259.919,4.573.259.919,4573259919.0,4573259919.0
