row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,31/12/2019,01/01/2019(đã điều chỉnh),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__31/12/2019,numeric__01/01/2019(đã điều chỉnh)
,,,,,VND,VND,,,,
400,400,400,D. VỐN CHỦ SỞ HỮU,,6.153.549.864.299,6.045.561.974.180,,,6153549864299.0,6045561974180.0
410,410,410,I. Vốn chủ sở hữu,25,6.100.562.124.773,5.989.657.551.138,,25.0,6100562124773.0,5989657551138.0
411,411,411,1. Vốn góp của chủ sở hữu,,4.483.500.000.000,4.483.500.000.000,,,4483500000000.0,4483500000000.0
411a,411a,411a,Cổ phiếu phổ thông có quyền biểu quyết,,4.483.500.000.000,4.483.500.000.000,,,4483500000000.0,4483500000000.0
412,412,412,2. Thắng dư vốn cổ phần,,931.212.247.586,931.212.247.586,,,931212247586.0,931212247586.0
418,418,418,3. Quỹ đầu tư phát triển,,89.987.989.240,89.987.989.240,,,89987989240.0,89987989240.0
421,421,421,4. Lợi nhuận sau thuế chưa phân phối,,595.861.887.947,484.957.314.312,,,595861887947.0,484957314312.0
421a,421a,421a,LNST chưa phân phối lũy kế đến cuối năm trước,,-,6.917.158.988,,,,6917158988.0
421b,421b,421b,LNST chưa phân phối năm nay,,595.861.887.947,478.040.155.324,,,595861887947.0,478040155324.0
430,430,430,II. Nguồn kinh phí và quỹ khác,,52.987.739.526,55.904.423.042,,,52987739526.0,55904423042.0
432,432,432,1. Nguồn kinh phí đã hình thành TSCĐ,26,52.987.739.526,55.904.423.042,,26.0,52987739526.0,55904423042.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,15.559.344.073.085,12.785.662.291.749,,,15559344073085.0,12785662291749.0
