row_label_raw,row_label_full,col_0,Nhà vàquyền sử dụng đất,Cơ sở hạ tầng,Cộng,numeric__Nhà vàquyền sử dụng đất,numeric__Cơ sở hạ tầng,numeric__Cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.253.563.467.130,2.618.589.484.054,3.872.152.951.184,1253563467130.0,2618589484054.0,3872152951184.0
- Tăng từ đầu tư xây dựng cơ bản (15.1),Nguyên giá > - Tăng từ đầu tư xây dựng cơ bản (15.1),- Tăng từ đầu tư xây dựng cơ bản (15.1),59.737.602.836,1.565.398.553.303,1.625.136.156.139,59737602836.0,1565398553303.0,1625136156139.0
- Tăng do điều chỉnh theo quyết toán,Nguyên giá > - Tăng do điều chỉnh theo quyết toán,- Tăng do điều chỉnh theo quyết toán,337.466.914,-,337.466.914,337466914.0,,337466914.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.313.638.536.880,4.183.988.037.357,5.497.626.574.237,1313638536880.0,4183988037357.0,5497626574237.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,269.572.997.179,324.571.019.435,594.144.016.614,269572997179.0,324571019435.0,594144016614.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,41.085.148.776,76.811.142.570,117.896.291.346,41085148776.0,76811142570.0,117896291346.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,310.658.145.955,401.382.162.005,712.040.307.960,310658145955.0,401382162005.0,712040307960.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,983.990.469.951,2.294.018.464.619,3.278.008.934.570,983990469951.0,2294018464619.0,3278008934570.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.002.980.390.925,3.782.605.875.352,4.785.586.266.277,1002980390925.0,3782605875352.0,4785586266277.0
