row_label_raw,row_label_full,col_0,Số phải thu đầu năm,Số phải nộp đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số phải thu cuối năm,Số phải nộp cuối năm,numeric__Số phải thu đầu năm,numeric__Số phải nộp đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Số phải thu cuối năm,numeric__Số phải nộp cuối năm
,,,VND,VND,VND,VND,VND,VND,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,648.920.138,3.428.501.207,184.564.812.977,227.363.281.912,45.372.485.661,5.353.597.795,648920138.0,3428501207.0,184564812977.0,227363281912.0,45372485661.0,5353597795.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",10.417.335,-,1.763.602.331,1.758.177.492,4.992.496,-,10417335.0,,1763602331.0,1758177492.0,4992496.0,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,169.923.163,29.030.951.653,136.223.447.117,107.969.698.259,169.923.163,57.284.700.511,169923163.0,29030951653.0,136223447117.0,107969698259.0,169923163.0,57284700511.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,13.361.556,3.838.555.453,14.156.419.287,13.790.080.186,-,4.191.532.998,13361556.0,3838555453.0,14156419287.0,13790080186.0,,4191532998.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,540.291.763,782.720,647.646.094,271.394.250,164.088.079,830.880,540291763.0,782720.0,647646094.0,271394250.0,164088079.0,830880.0
Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,349.097.735,-,18.568.386.016,18.482.293.326,263.005.045,-,349097735.0,,18568386016.0,18482293326.0,263005045.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,211.545.453,755.737.607,4.920.169.190,4.139.216.615,63.000.000,1.388.144.729,211545453.0,755737607.0,4920169190.0,4139216615.0,63000000.0,1388144729.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",-,30.922.723.403,36.791.852,44.214.474,5.620.091,30.920.920.872,,30922723403.0,36791852.0,44214474.0,5620091.0,30920920872.0
,,,1.943.557.143,67.977.252.043,360.881.274.864,373.818.356.514,46.043.114.535,99.139.727.785,1943557143.0,67977252043.0,360881274864.0,373818356514.0,46043114535.0,99139727785.0
