row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,4.483.500.000.000,931.224.071.162,80.423.078.247,492.356.626.486,5.987.503.775.895,4483500000000.0,931224071162.0,80423078247.0,492356626486.0,5987503775895.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,504.081.001.112,504.081.001.112,,,,504081001112.0,504081001112.0
Trả cổ tức bằng tiền,Trả cổ tức bằng tiền,Trả cổ tức bằng tiền,-,-,-,(425.932.500.000),(425.932.500.000),,,,-425932500000.0,-425932500000.0
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,9.564.910.993,(9.564.910.993),-,,,9564910993.0,-9564910993.0,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,(10.000.000.000),(10.000.000.000),,,,-10000000000.0,-10000000000.0
Giảm do hạch toán tăng phải trả nhà nước về cổ phần hóa,Giảm do hạch toán tăng phải trả nhà nước về cổ phần hóa,Giảm do hạch toán tăng phải trả nhà nước về cổ phần hóa,-,-,-,(65.982.902.293),(65.982.902.293),,,,-65982902293.0,-65982902293.0
Giảm khác,Giảm khác,Giảm khác,-,(11.823.576),-,-,(11.823.576),,-11823576.0,,,-11823576.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,4.483.500.000.000,931.212.247.586,89.987.989.240,484.957.314.312,5.989.657.551.138,4483500000000.0,931212247586.0,89987989240.0,484957314312.0,5989657551138.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,595.861.887.947,595.861.887.947,,,,595861887947.0,595861887947.0
Trả cổ tức bằng tiền,Trả cổ tức bằng tiền,Trả cổ tức bằng tiền,-,-,-,(448.350.000.000),(448.350.000.000),,,,-448350000000.0,-448350000000.0
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,(35.277.901.764),(35.277.901.764),,,,-35277901764.0,-35277901764.0
Hạch toán dự phòng phải trả về quỹ hỗ trợ sắp xếp doanh nghiệp,Hạch toán dự phòng phải trả về quỹ hỗ trợ sắp xếp doanh nghiệp,Hạch toán dự phòng phải trả về quỹ hỗ trợ sắp xếp doanh nghiệp,-,-,-,(1.329.412.548),(1.329.412.548),,,,-1329412548.0,-1329412548.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,4.483.500.000.000,931.212.247.586,89.987.989.240,595.861.887.947,6.100.562.124.773,4483500000000.0,931212247586.0,89987989240.0,595861887947.0,6100562124773.0
