row_label_raw,row_label_full,col_0,Mã số,Đã phân loại lại,Đã trình bày trên báo cáo năm trước,numeric__Mã số,numeric__Đã phân loại lại,numeric__Đã trình bày trên báo cáo năm trước
,,,,VND,VND,,,
Bảng Cân đối kế toán riêng,Bảng Cân đối kế toán riêng,Bảng Cân đối kế toán riêng,Bảng Cân đối kế toán riêng,Bảng Cân đối kế toán riêng,Bảng Cân đối kế toán riêng,,,
- Hàng tồn kho,Bảng Cân đối kế toán riêng > - Hàng tồn kho,- Hàng tồn kho,141,1.744.491.184.328,1.650.209.073.122,141.0,1744491184328.0,1650209073122.0
- Chi phí xây dựng cơ bản dở dang,Bảng Cân đối kế toán riêng > - Chi phí xây dựng cơ bản dở dang,- Chi phí xây dựng cơ bản dở dang,242,1.849.899.677.450,1.944.181.788.656,242.0,1849899677450.0,1944181788656.0
