row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
C. Nợ PHẢI TRẢ,C. Nợ PHẢI TRẢ,C. Nợ PHẢI TRẢ,300,,4.736.890.074.755,5.330.724.925.210,300.0,,4736890074755.0,5330724925210.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,1.874.446.172.573,2.177.979.907.857,310.0,,1874446172573.0,2177979907857.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,16,656.073.062.522,833.012.917.535,311.0,16.0,656073062522.0,833012917535.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,,11.185.090.293,26.278.498.674,312.0,,11185090293.0,26278498674.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,17,54.774.724.835,54.031.752.798,313.0,17.0,54774724835.0,54031752798.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,116.612.429.384,129.617.999.412,314.0,,116612429384.0,129617999412.0
5. Chỉ phí phải trả ngắn hạn,5. Chỉ phí phải trả ngắn hạn,5. Chỉ phí phải trả ngắn hạn,315,18,42.974.684.307,51.606.151.499,315.0,18.0,42974684307.0,51606151499.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,,1.432.660.000,1.361.141.247,318.0,,1432660000.0,1361141247.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,19,179.730.155.365,51.309.221.663,319.0,19.0,179730155365.0,51309221663.0
8. Vay ngắn hạn,8. Vay ngắn hạn,8. Vay ngắn hạn,320,22,529.716.898.818,902.429.496.663,320.0,22.0,529716898818.0,902429496663.0
9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,321,20,216.133.723.286,84.190.081.945,321.0,20.0,216133723286.0,84190081945.0
