row_label_raw,row_label_full,Chi tiết các khoản dự phòng phải trả:,Chi tiết các khoản dự phòng phải trả:_1,Chi tiết các khoản dự phòng phải trả:_2,numeric__Chi tiết các khoản dự phòng phải trả:_1,numeric__Chi tiết các khoản dự phòng phải trả:_2
,,,Số cuối nămVND,Số đầu nămVND,,
Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,216.133.723.286,84.190.081.945,216133723286.0,84190081945.0
Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,71.500.793.295,38.318.292.451,71500793295.0,38318292451.0
,,,287.634.516.581,122.508.374.396,287634516581.0,122508374396.0
