row_label_raw,row_label_full,col_0,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
a) Các khoản phải trả người bán là bên thứ ba,a) Các khoản phải trả người bán là bên thứ ba,a) Các khoản phải trả người bán là bên thứ ba,a) Các khoản phải trả người bán là bên thứ ba,a) Các khoản phải trả người bán là bên thứ ba,,
Công ty TNHH MTV Gas Venus,a) Các khoản phải trả người bán là bên thứ ba > Công ty TNHH MTV Gas Venus,Công ty TNHH MTV Gas Venus,8.609.965.699,54.686.153.111,8609965699.0,54686153111.0
Công ty TNHH Daishan Haizhou Shipyard,a) Các khoản phải trả người bán là bên thứ ba > Công ty TNHH Daishan Haizhou Shipyard,Công ty TNHH Daishan Haizhou Shipyard,-,21.327.500.000,,21327500000.0
Wallem Ship Management Ltd,a) Các khoản phải trả người bán là bên thứ ba > Wallem Ship Management Ltd,Wallem Ship Management Ltd,11.955.552.412,11.777.189.629,11955552412.0,11777189629.0
Công ty Cổ phần Đầu khí FGas,a) Các khoản phải trả người bán là bên thứ ba > Công ty Cổ phần Đầu khí FGas,Công ty Cổ phần Đầu khí FGas,41.477.113.042,-,41477113042.0,
Công ty Cổ phần Vận tải Hàng hải Quốc Việt,a) Các khoản phải trả người bán là bên thứ ba > Công ty Cổ phần Vận tải Hàng hải Quốc Việt,Công ty Cổ phần Vận tải Hàng hải Quốc Việt,10.009.543.285,10.009.543.285,10009543285.0,10009543285.0
Monjasa Pte Ltd,a) Các khoản phải trả người bán là bên thứ ba > Monjasa Pte Ltd,Monjasa Pte Ltd,3.298.569.756,-,3298569756.0,
Teekay Chartering Ltd,a) Các khoản phải trả người bán là bên thứ ba > Teekay Chartering Ltd,Teekay Chartering Ltd,2.444.456.540,-,2444456540.0,
Phải trả cho các đối tượng khác,a) Các khoản phải trả người bán là bên thứ ba > Phải trả cho các đối tượng khác,Phải trả cho các đối tượng khác,228.111.145.815,183.016.239.026,228111145815.0,183016239026.0
b) Phải trả người bán là các bên liên quan,b) Phải trả người bán là các bên liên quan,b) Phải trả người bán là các bên liên quan,b) Phải trả người bán là các bên liên quan,b) Phải trả người bán là các bên liên quan,,
Tập đoàn Dầu khí Quốc gia Việt Nam,b) Phải trả người bán là các bên liên quan > Tập đoàn Dầu khí Quốc gia Việt Nam,Tập đoàn Dầu khí Quốc gia Việt Nam,30.791.470.706,189.660.576.000,30791470706.0,189660576000.0
Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quất,b) Phải trả người bán là các bên liên quan > Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quất,Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quất,139.103.575.105,168.120.672.732,139103575105.0,168120672732.0
Công ty TNHH MTV Kinh doanh Khí hóa lòng Miền Đông,b) Phải trả người bán là các bên liên quan > Công ty TNHH MTV Kinh doanh Khí hóa lòng Miền Đông,Công ty TNHH MTV Kinh doanh Khí hóa lòng Miền Đông,52.198.665.599,60.579.676.813,52198665599.0,60579676813.0
Chỉ nhánh Tổng Công ty Khí Việt Nam - Công ty Cổ phần - Công ty Kinh doanh Sản phẩm khí,b) Phải trả người bán là các bên liên quan > Chỉ nhánh Tổng Công ty Khí Việt Nam - Công ty Cổ phần - Công ty Kinh doanh Sản phẩm khí,Chỉ nhánh Tổng Công ty Khí Việt Nam - Công ty Cổ phần - Công ty Kinh doanh Sản phẩm khí,13.561.808.799,31.533.916.342,13561808799.0,31533916342.0
Công ty Cổ phần Kinh doanh Khí hóa lòng Miền Nam,b) Phải trả người bán là các bên liên quan > Công ty Cổ phần Kinh doanh Khí hóa lòng Miền Nam,Công ty Cổ phần Kinh doanh Khí hóa lòng Miền Nam,4.420.359.291,27.687.583.875,4420359291.0,27687583875.0
Công ty Cổ phần Xăng dầu Dầu khí Vũng Tàu,b) Phải trả người bán là các bên liên quan > Công ty Cổ phần Xăng dầu Dầu khí Vũng Tàu,Công ty Cổ phần Xăng dầu Dầu khí Vũng Tàu,15.993.090.220,24.092.547.500,15993090220.0,24092547500.0
Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí Thắng Lonq,b) Phải trả người bán là các bên liên quan > Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí Thắng Lonq,Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí Thắng Lonq,16.250.216.742,-,16250216742.0,
Công ty TNHH MTV Lộc hóa dầu Bình Sơn,b) Phải trả người bán là các bên liên quan > Công ty TNHH MTV Lộc hóa dầu Bình Sơn,Công ty TNHH MTV Lộc hóa dầu Bình Sơn,17.998.750.227,11.983.020.011,17998750227.0,11983020011.0
Công ty Cổ phần Kinh doanh Khí hóa lòng Miền Bắc,b) Phải trả người bán là các bên liên quan > Công ty Cổ phần Kinh doanh Khí hóa lòng Miền Bắc,Công ty Cổ phần Kinh doanh Khí hóa lòng Miền Bắc,9.936.649.081,15.377.344.360,9936649081.0,15377344360.0
Liên Doanh Việt Nga - Vietsovpetro,b) Phải trả người bán là các bên liên quan > Liên Doanh Việt Nga - Vietsovpetro,Liên Doanh Việt Nga - Vietsovpetro,18.141.152.851,7.825.675.000,18141152851.0,7825675000.0
Công ty Cổ phần Xăng dầu Dầu khí Hải Phòng,b) Phải trả người bán là các bên liên quan > Công ty Cổ phần Xăng dầu Dầu khí Hải Phòng,Công ty Cổ phần Xăng dầu Dầu khí Hải Phòng,749.045.400,3.113.905.900,749045400.0,3113905900.0
Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí Vũng Tàu,b) Phải trả người bán là các bên liên quan > Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí Vũng Tàu,Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí Vũng Tàu,1.329.457.468,2.147.865.635,1329457468.0,2147865635.0
Công ty Cổ phần Xăng dầu Dầu khí Thái Bình,b) Phải trả người bán là các bên liên quan > Công ty Cổ phần Xăng dầu Dầu khí Thái Bình,Công ty Cổ phần Xăng dầu Dầu khí Thái Bình,838.464.010,994.536.870,838464010.0,994536870.0
Công ty Cổ phần Dầu tư và Xuất nhập khẩu Khí hóa lònq Hà Nội,b) Phải trả người bán là các bên liên quan > Công ty Cổ phần Dầu tư và Xuất nhập khẩu Khí hóa lònq Hà Nội,Công ty Cổ phần Dầu tư và Xuất nhập khẩu Khí hóa lònq Hà Nội,5.520.686.262,-,5520686262.0,
Công ty Cổ phần Xăng dầu Dầu khí Sài Gòn,b) Phải trả người bán là các bên liên quan > Công ty Cổ phần Xăng dầu Dầu khí Sài Gòn,Công ty Cổ phần Xăng dầu Dầu khí Sài Gòn,16.417.024.980,-,16417024980.0,
Công ty Cổ phần Kinh doanh Khí Miền Nam,b) Phải trả người bán là các bên liên quan > Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty Cổ phần Kinh doanh Khí Miền Nam,811.316.119,-,811316119.0,
Các bên liên quan khác,b) Phải trả người bán là các bên liên quan > Các bên liên quan khác,Các bên liên quan khác,6.104.983.113,9.078.971.446,6104983113.0,9078971446.0
,,,656.073.062.522,833.012.917.535,656073062522.0,833012917535.0
