row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,545.454.545,9.916.949.568,8.034.273.899.946,10.288.616.316,8.055.024.920.375,545454545.0,9916949568.0,8034273899946.0,10288616316.0,8055024920375.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,-,170.917.221.760,1.828.588.580,172.745.810.340,,,170917221760.0,1828588580.0,172745810340.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(132.589.388.754),(744.322.818),(133.333.711.572),,,-132589388754.0,-744322818.0,-133333711572.0
Điều chính khác (*),NGUYÊN GIÁ > Điều chính khác (*),Điều chính khác (*),-,(195.335.178),(183.223.051.892),(412.050.576),(183.830.437.646),,-195335178.0,-183223051892.0,-412050576.0,-183830437646.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,545.454.545,9.721.614.390,7.889.378.681.060,10.960.831.502,7.910.606.581.497,545454545.0,9721614390.0,7889378681060.0,10960831502.0,7910606581497.0
GIÁ TRỊ HAO MÒN LƯỢ Kế,GIÁ TRỊ HAO MÒN LƯỢ Kế,GIÁ TRỊ HAO MÒN LƯỢ Kế,GIÁ TRỊ HAO MÒN LƯỢ Kế,GIÁ TRỊ HAO MÒN LƯỢ Kế,GIÁ TRỊ HAO MÒN LƯỢ Kế,GIÁ TRỊ HAO MÒN LƯỢ Kế,GIÁ TRỊ HAO MÒN LƯỢ Kế,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LƯỢ Kế > Số dư đầu năm,Số dư đầu năm,(272.727.262),(7.688.534.487),(2.521.173.695.985),(5.368.618.871),(2.534.503.576.605),-272727262.0,-7688534487.0,-2521173695985.0,-5368618871.0,-2534503576605.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LƯỢ Kế > Khấu hao trong năm,Khấu hao trong năm,(54.545.448),(887.646.727),(461.870.702.969),(2.504.009.541),(465.316.904.685),-54545448.0,-887646727.0,-461870702969.0,-2504009541.0,-465316904685.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LƯỢ Kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,89.614.103.040,665.692.640,90.279.795.680,,,89614103040.0,665692640.0,90279795680.0
Điều chính khác (*),GIÁ TRỊ HAO MÒN LƯỢ Kế > Điều chính khác (*),Điều chính khác (*),-,135.151.861,55.643.558.421,508.089.910,56.286.800.192,,135151861.0,55643558421.0,508089910.0,56286800192.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LƯỢ Kế > Số dư cuối năm,Số dư cuối năm,(327.272.710),(8.441.029.353),(2.837.786.737.493),(6.698.845.862),(2.853.253.885.418),-327272710.0,-8441029353.0,-2837786737493.0,-6698845862.0,-2853253885418.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,218.181.835,1.280.585.037,5.051.591.943.567,4.261.985.640,5.057.352.696.079,218181835.0,1280585037.0,5051591943567.0,4261985640.0,5057352696079.0
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,272.727.283,2.228.415.081,5.513.100.203.961,4.919.997.445,5.520.521.343.770,272727283.0,2228415081.0,5513100203961.0,4919997445.0,5520521343770.0
