row_label_raw,row_label_full,Số cuối năm,Dưới 1 nămVND > Số cuối năm,Từ 1 đến 5 nămVND > Số cuối năm,Trên 5 nămVND > Số cuối năm,TổngVND > Số cuối năm,numeric__Dưới 1 nămVND > Số cuối năm,numeric__Từ 1 đến 5 nămVND > Số cuối năm,numeric__Trên 5 nămVND > Số cuối năm,numeric__TổngVND > Số cuối năm
Tiền và các khoản tường dưỡng tiền,Tiền và các khoản tường dưỡng tiền,Tiền và các khoản tường dưỡng tiền,1.338.548.595.430,-,-,1.338.548.595.430,1338548595430.0,,,1338548595430.0
Đầu tư tài chính,Đầu tư tài chính,Đầu tư tài chính,1.559.919.013.699,-,45.937.767.300,1.605.856.780.999,1559919013699.0,,45937767300.0,1605856780999.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,688.494.744.690,7.635.948.737,-,696.130.693.427,688494744690.0,7635948737.0,,696130693427.0
Tổng cộng,Tổng cộng,Tổng cộng,3.586.962.353.819,7.635.948.737,45.937.767.300,3.640.536.069.856,3586962353819.0,7635948737.0,45937767300.0,3640536069856.0
Các khoản vay,Các khoản vay,Các khoản vay,529.716.898.818,1.756.560.103.949,675.847.601.401,2.962.124.604.168,529716898818.0,1756560103949.0,675847601401.0,2962124604168.0
Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,835.803.217.887,120.852.659.653,230.891.136.000,1.187.547.013.540,835803217887.0,120852659653.0,230891136000.0,1187547013540.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,42.974.684.307,6.791.607.884,-,49.766.292.191,42974684307.0,6791607884.0,,49766292191.0
Tổng cộng,Tổng cộng,Tổng cộng,1.408.494.801.012,1.884.204.371.486,906.738.737.401,4.199.437.909.899,1408494801012.0,1884204371486.0,906738737401.0,4199437909899.0
Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,2.178.467.552.807,(1.876.568.422.749),(860.800.970.101),(558.901.840.043),2178467552807.0,-1876568422749.0,-860800970101.0,-558901840043.0
,,,Dưới 1 nămVND,Từ 1 đến 5 nămVND,Trên 5 nămVND,TổngVND,,,,
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,
Tiền và các khoản tường dưỡng tiền,Số đầu năm > Tiền và các khoản tường dưỡng tiền,Tiền và các khoản tường dưỡng tiền,2.236.855.073.354,-,-,2.236.855.073.354,2236855073354.0,,,2236855073354.0
Đầu tư tài chính,Số đầu năm > Đầu tư tài chính,Đầu tư tài chính,582.259.077.900,-,45.937.767.300,628.196.845.200,582259077900.0,,45937767300.0,628196845200.0
Phải thu khách hàng và phải thu khác,Số đầu năm > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,817.127.711.878,13.339.916.828,-,830.467.628.706,817127711878.0,13339916828.0,,830467628706.0
Tổng cộng,Số đầu năm > Tổng cộng,Tổng cộng,3.636.241.863.132,13.339.916.828,45.937.767.300,3.695.519.547.260,3636241863132.0,13339916828.0,45937767300.0,3695519547260.0
Các khoản vay,Số đầu năm > Các khoản vay,Các khoản vay,902.429.496.663,2.147.619.839.831,568.133.380.571,3.618.182.717.065,902429496663.0,2147619839831.0,568133380571.0,3618182717065.0
Phải trả người bán và phải trả khác,Số đầu năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,884.322.139.198,163.113.939.039,230.891.136.000,1.278.327.214.237,884322139198.0,163113939039.0,230891136000.0,1278327214237.0
Chi phí phải trả,Số đầu năm > Chi phí phải trả,Chi phí phải trả,51.606.151.499,4.668.429.461,-,56.274.580.960,51606151499.0,4668429461.0,,56274580960.0
Tổng cộng,Số đầu năm > Tổng cộng,Tổng cộng,1.838.357.787.360,2.315.402.208.331,799.024.516.571,4.952.784.512.262,1838357787360.0,2315402208331.0,799024516571.0,4952784512262.0
Chênh lệch thanh khoản thuần,Số đầu năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.797.884.075.772,(2.302.062.291.503),(753.086.749.271),(1.257.264.965.002),1797884075772.0,-2302062291503.0,-753086749271.0,-1257264965002.0
