row_label_raw,row_label_full,"Đầu tư vào Công ty liên doanh, liên kết","Đầu tư vào Công ty liên doanh, liên kết_1","Đầu tư vào Công ty liên doanh, liên kết_2","numeric__Đầu tư vào Công ty liên doanh, liên kết_1","numeric__Đầu tư vào Công ty liên doanh, liên kết_2"
,,,Số cuối nămVND,Số đầu nămVND,,
"Đầu tư vào các Công ty liên kết, liên doanh","Đầu tư vào các Công ty liên kết, liên doanh","Đầu tư vào các Công ty liên kết, liên doanh",150.037.720.000,99.025.000.000,150037720000.0,99025000000.0
Phần lợi nhuận phát sinh sau ngày đầu tư trừcổ tức được chia,Phần lợi nhuận phát sinh sau ngày đầu tư trừcổ tức được chia,Phần lợi nhuận phát sinh sau ngày đầu tư trừcổ tức được chia,38.910.405.750,45.158.839.206,38910405750.0,45158839206.0
,,,188.948.125.750,144.183.839.206,188948125750.0,144183839206.0
"Thông tin chỉ tiết về các công ty liên doanh, liên kết tại ngày 31 tháng 12 năm 2016 như sau:","Thông tin chỉ tiết về các công ty liên doanh, liên kết tại ngày 31 tháng 12 năm 2016 như sau:","Thông tin chỉ tiết về các công ty liên doanh, liên kết tại ngày 31 tháng 12 năm 2016 như sau:","Thông tin chỉ tiết về các công ty liên doanh, liên kết tại ngày 31 tháng 12 năm 2016 như sau:","Thông tin chỉ tiết về các công ty liên doanh, liên kết tại ngày 31 tháng 12 năm 2016 như sau:",,
,,,Số cuối nămVND,Số đầu nămVND,,
Công ty TNHH PVTrans Emas,"Thông tin chỉ tiết về các công ty liên doanh, liên kết tại ngày 31 tháng 12 năm 2016 như sau: > Công ty TNHH PVTrans Emas",Công ty TNHH PVTrans Emas,-,1.025.000.000,,1025000000.0
Công ty Cổ phần Dịch vụ Khai thác Dầu khí PTSC,"Thông tin chỉ tiết về các công ty liên doanh, liên kết tại ngày 31 tháng 12 năm 2016 như sau: > Công ty Cổ phần Dịch vụ Khai thác Dầu khí PTSC",Công ty Cổ phần Dịch vụ Khai thác Dầu khí PTSC,98.000.000.000,98.000.000.000,98000000000.0,98000000000.0
Công ty Cổ phần vận tải đầu khí Cửu Long,"Thông tin chỉ tiết về các công ty liên doanh, liên kết tại ngày 31 tháng 12 năm 2016 như sau: > Công ty Cổ phần vận tải đầu khí Cửu Long",Công ty Cổ phần vận tải đầu khí Cửu Long,52.037.720.000,-,52037720000.0,
,,,150.037.720.000,99.025.000.000,150037720000.0,99025000000.0
