row_label_raw,row_label_full,Khoản nợ này được hoàn trả theo lịch sau:,Khoản nợ này được hoàn trả theo lịch sau:_1,Khoản nợ này được hoàn trả theo lịch sau:_2,numeric__Khoản nợ này được hoàn trả theo lịch sau:_1,numeric__Khoản nợ này được hoàn trả theo lịch sau:_2
,,,Số cuối nămVND,Số đầu nămVND,,
Trong vòng một năm,Trong vòng một năm,Trong vòng một năm,28.861.392.000,189.660.576.000,28861392000.0,189660576000.0
Trong nằm thứ hai,Trong nằm thứ hai,Trong nằm thứ hai,28.861.392.000,28.861.392.000,28861392000.0,28861392000.0
Từ nằm thứ ba đến nằm thứ năm,Từ nằm thứ ba đến nằm thứ năm,Từ nằm thứ ba đến nằm thứ năm,86.584.176.000,86.584.176.000,86584176000.0,86584176000.0
Sau nằm năm,Sau nằm năm,Sau nằm năm,202.029.744.000,230.891.136.000,202029744000.0,230891136000.0
,,,346.336.704.000,535.997.280.000,346336704000.0,535997280000.0
Trừ: Số phải trả trong vòng 12 tháng(được trình bày ở phải trả người bán ngắn hạn),Trừ: Số phải trả trong vòng 12 tháng(được trình bày ở phải trả người bán ngắn hạn),Trừ: Số phải trả trong vòng 12 tháng(được trình bày ở phải trả người bán ngắn hạn),(28.861.392.000),(189.660.576.000),-28861392000.0,-189660576000.0
Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,317.475.312.000,346.336.704.000,317475312000.0,346336704000.0
