row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Mã số,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
I. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,
1. Lợi nhuận trước thuế,I. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,601.955.431.318,546.239.372.190,1.0,601955431318.0,546239372190.0
2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,,,
Khẩu hao tài sản cố định,2. Điều chỉnh cho các khoản: > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,02,465.616.372.740,447.313.425.698,2.0,465616372740.0,447313425698.0
Các khoản dự phòng,2. Điều chỉnh cho các khoản: > Các khoản dự phòng,Các khoản dự phòng,03,249.893.485.708,52.659.504.100,3.0,249893485708.0,52659504100.0
(Lãi)/lỗ chênh lệch tỷ giá hồi đoái do đánh giá lạicác khoản mục tiên tệ có gốc ngoại tệ,2. Điều chỉnh cho các khoản: > (Lãi)/lỗ chênh lệch tỷ giá hồi đoái do đánh giá lạicác khoản mục tiên tệ có gốc ngoại tệ,(Lãi)/lỗ chênh lệch tỷ giá hồi đoái do đánh giá lạicác khoản mục tiên tệ có gốc ngoại tệ,04,(15.122.192.100),107.454.450.415,4.0,-15122192100.0,107454450415.0
Lãi từ hoạt động đầu tư,2. Điều chỉnh cho các khoản: > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,(182.393.683.451),(174.968.330.789),5.0,-182393683451.0,-174968330789.0
Chi phí lãi vay,2. Điều chỉnh cho các khoản: > Chi phí lãi vay,Chi phí lãi vay,06,122.947.562.199,96.713.521.505,6.0,122947562199.0,96713521505.0
3. Lợi nhuận từ hoạt động kinh doanh trướcthay đổi vốn lưu động,2. Điều chỉnh cho các khoản: > 3. Lợi nhuận từ hoạt động kinh doanh trướcthay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trướcthay đổi vốn lưu động,08,1.242.896.976.414,1.075.411.943.119,8.0,1242896976414.0,1075411943119.0
Giảm/(tăng) các khoản phải thu,2. Điều chỉnh cho các khoản: > Giảm/(tăng) các khoản phải thu,Giảm/(tăng) các khoản phải thu,09,42.126.926.894,(85.874.670.458),9.0,42126926894.0,-85874670458.0
Giảm hàng tồn kho,2. Điều chỉnh cho các khoản: > Giảm hàng tồn kho,Giảm hàng tồn kho,10,17.893.806.037,199.209.553,10.0,17893806037.0,199209553.0
Tăng các khoản phải trả,2. Điều chỉnh cho các khoản: > Tăng các khoản phải trả,Tăng các khoản phải trả,11,170.705.054.838,18.865.357.195,11.0,170705054838.0,18865357195.0
Giảm/(tăng) chi phí trả trước,2. Điều chỉnh cho các khoản: > Giảm/(tăng) chi phí trả trước,Giảm/(tăng) chi phí trả trước,12,74.938.556.024,(9.597.865.560),12.0,74938556024.0,-9597865560.0
Giảm chứng khoán kinh doanh,2. Điều chỉnh cho các khoản: > Giảm chứng khoán kinh doanh,Giảm chứng khoán kinh doanh,13,266.108.066,6.137.602.014,13.0,266108066.0,6137602014.0
Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(123.170.728.492),(102.710.032.233),14.0,-123170728492.0,-102710032233.0
Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản: > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(121.759.545.302),(101.242.018.047),15.0,-121759545302.0,-101242018047.0
Tiền thu khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,-,40.707.810.723,16.0,,40707810723.0
