row_label_raw,row_label_full,đường dọc timi cụ the hind sash,Số năm,numeric__Số năm
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",10,10.0
"Máy móc, thiết bị","Máy móc, thiết bị","Máy móc, thiết bị",03 - 08,
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,05 - 25,
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,02 - 08,
