row_label_raw,row_label_full,col_0,Số đầu nămVND,Số phải thu trong nămVND,Số đã thực thu trong nămVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Số phải thu trong nămVND,numeric__Số đã thực thu trong nămVND,numeric__Số cuối nămVND
a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,,,,
Thuế giá trị gia tăng,a) Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,22.364.744,5.647.947.294,4.152.831.705,1.517.480.333,22364744.0,5647947294.0,4152831705.0,1517480333.0
"Thuế xuất khẩu, nhập khẩu","a) Các khoản phải thu > Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu",-,2.895.585.468,2.036.513.558,859.071.910,,2895585468.0,2036513558.0,859071910.0
Thuế thu nhập doanh nghiệp,a) Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,9.169.275,-,-,9.169.275,9169275.0,,,9169275.0
Thuế thu nhập cá nhân,a) Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,6.719.930,-,6.719.930,-,6719930.0,,6719930.0,
Thuế nhà thầu,a) Các khoản phải thu > Thuế nhà thầu,Thuế nhà thầu,10.113.730,-,10.113.730,-,10113730.0,,10113730.0,
Thuế khác,a) Các khoản phải thu > Thuế khác,Thuế khác,-,7.272.623.160,5.229.347.580,2.043.275.580,,7272623160.0,5229347580.0,2043275580.0
,,,48.367.679,15.816.155.922,11.435.526.503,4.428.997.098,48367679.0,15816155922.0,11435526503.0,4428997098.0
,,,Số đầu nămVND,Số phải nộp trong nămVND,Số đã thựcnộp trong nămVND,Số cuối nămVND,,,,
b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,,,,
Thuế giá trị gia tăng,b) Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,12.065.112.882,197.017.465.803,199.687.212.035,9.395.366.650,12065112882.0,197017465803.0,199687212035.0,9395366650.0
"Thuế xuất, nhập khẩu","b) Các khoản phải trả > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,1.037.963.129,1.084.332.740,(46.369.611),,1037963129.0,1084332740.0,-46369611.0
Thuế thu nhập doanh nghiệp,b) Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,37.473.511.800,126.175.814.457,121.759.545.302,41.889.780.955,37473511800.0,126175814457.0,121759545302.0,41889780955.0
Thuế thu nhập cá nhân,b) Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,4.155.948.439,23.292.918.392,24.097.481.444,3.351.385.387,4155948439.0,23292918392.0,24097481444.0,3351385387.0
Thuế nhà thầu,b) Các khoản phải trả > Thuế nhà thầu,Thuế nhà thầu,188.900.549,12.787.426.437,12.791.765.532,184.561.454,188900549.0,12787426437.0,12791765532.0,184561454.0
Thuế môn bài,b) Các khoản phải trả > Thuế môn bài,Thuế môn bài,-,25.000.000,25.000.000,-,,25000000.0,25000000.0,
Các loại thuế khác,b) Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,148.279.128,1.643.721.008,1.792.000.136,-,148279128.0,1643721008.0,1792000136.0,
,,,54.031.752.798,361.980.309.226,361.237.337.189,54.774.724.835,54031752798.0,361980309226.0,361237337189.0,54774724835.0
