row_label_raw,row_label_full,col_0,Dịch vụ vận tải VND,Dịch vụ hàng hải dầu khí VND,Thuống mại VND,Dịch vụ khác VND,Tổng VND,numeric__Dịch vụ vận tải VND,numeric__Dịch vụ hàng hải dầu khí VND,numeric__Thuống mại VND,numeric__Dịch vụ khác VND,numeric__Tổng VND
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,2.869.355.694.632,662.783.350.385,2.794.630.423.642,406.805.347.164,6.733.574.815.823,2869355694632.0,662783350385.0,2794630423642.0,406805347164.0,6733574815823.0
Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu thuần từ bán hàng cho các bộ phận khác,,,,,,,,,,
Tổng doanh thu,Doanh thu thuần từ bán hàng cho các bộ phận khác > Tổng doanh thu,Tổng doanh thu,2.869.355.694.632,662.783.350.385,2.794.630.423.642,406.805.347.164,6.733.574.815.823,2869355694632.0,662783350385.0,2794630423642.0,406805347164.0,6733574815823.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,498.846.858.769,179.338.764.245,43.015.207.487,41.261.854.763,762.462.685.264,498846858769.0,179338764245.0,43015207487.0,41261854763.0,762462685264.0
Chi phí không phần bổ,Kết quả hoạt động kinh doanh > Chi phí không phần bổ,Chi phí không phần bổ,,,,,(235.926.687.753),,,,,-235926687753.0
Lợi nhuận từ hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,526.535.997.511,,,,,526535997511.0
Doanh thu hoạt động tài chính,Kết quả hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,186.112.937.028,,,,,186112937028.0
Lợi nhuận khác,Kết quả hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,39.711.646.771,,,,,39711646771.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,(150.405.149.992),,,,,-150405149992.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,601.955.431.318,,,,,601955431318.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(126.175.814.457),,,,,-126175814457.0
Thuế thu nhập doanh nghiệp hoãn lai,Kết quả hoạt động kinh doanh > Thuế thu nhập doanh nghiệp hoãn lai,Thuế thu nhập doanh nghiệp hoãn lai,,,,,7.686.183.556,,,,,7686183556.0
Lợi nhuận trong năm,Kết quả hoạt động kinh doanh > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,,483.465.800.417,,,,,483465800417.0
Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,,,,,
Khẩu hao,Thông tin khác > Khẩu hao,Khẩu hao,,,,,465.616.372.740,,,,,465616372740.0
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
,,,Dịch vụ vận tải VND,Dịch vụ hàng hải dầu khí VND,Thuống mại VND,Dịch vụ khác VND,Tổng VND,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,2.773.845.345.031,493.992.949.125,2.184.148.790.665,309.463.620.609,5.761.450.705.430,2773845345031.0,493992949125.0,2184148790665.0,309463620609.0,5761450705430.0
Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu thuần từ bán hàng cho các bộ phận khác,,,,,,,,,,
Tổng doanh thu,Doanh thu thuần từ bán hàng cho các bộ phận khác > Tổng doanh thu,Tổng doanh thu,2.773.845.345.031,493.992.949.125,2.184.148.790.665,309.463.620.609,5.761.450.705.430,2773845345031.0,493992949125.0,2184148790665.0,309463620609.0,5761450705430.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,550.852.402.173,176.672.772.549,8.502.925.754,41.203.579.303,777.231.679.779,550852402173.0,176672772549.0,8502925754.0,41203579303.0,777231679779.0
Chi phí không phần bổ,Kết quả hoạt động kinh doanh > Chi phí không phần bổ,Chi phí không phần bổ,,,,,(219.610.342.965),,,,,-219610342965.0
Lợi nhuận từ hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,557.621.336.814,,,,,557621336814.0
Doanh thu hoạt động tài chính,Kết quả hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,163.519.833.453,,,,,163519833453.0
Lợi nhuận khác,Kết quả hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,52.218.241.784,,,,,52218241784.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,(227.120.039.861),,,,,-227120039861.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,546.239.372.190,,,,,546239372190.0
Thu nhập thuế thu nhập doanh nghiệp,Kết quả hoạt động kinh doanh > Thu nhập thuế thu nhập doanh nghiệp,Thu nhập thuế thu nhập doanh nghiệp,,,,,(114.672.179.021),,,,,-114672179021.0
Chi phí thuế thu nhập doanh nghiệp hoãn lai,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp hoãn lai,Chi phí thuế thu nhập doanh nghiệp hoãn lai,,,,,1.123.581.606,,,,,1123581606.0
Lợi nhuận trong năm,Kết quả hoạt động kinh doanh > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,,432.690.774.775,,,,,432690774775.0
Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,,,,,
