row_label_raw,row_label_full,col_0,1/10/2022Giá trị ghi sổ/Số cókhả năng trả nợVND,Biến động trong năm > VayVND,Biến động trong năm > Trả nợ vayVND,30/9/2023Giá trị ghi sổ/Số cókhả năng trả nợVND,numeric__1/10/2022Giá trị ghi sổ/Số cókhả năng trả nợVND,numeric__Biến động trong năm > VayVND,numeric__Biến động trong năm > Trả nợ vayVND,numeric__30/9/2023Giá trị ghi sổ/Số cókhả năng trả nợVND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,3.545.557.150.716,21.420.117.233.606,(22.061.887.581.884),2.903.786.802.438,3545557150716.0,21420117233606.0,-22061887581884.0,2903786802438.0
Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,,,,
Bên cho vay,Bên cho vay,Bên cho vay,,Thuyếtminh,Loạitiền,30/9/2023VND,,,,
▪ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Bình Dương,Bên cho vay > ▪ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Bình Dương,▪ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Bình Dương,,(i),VND,1.625.599.905.996,,,,1625599905996.0
▪ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Bình Dương,▪ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Bình Dương,▪ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Bình Dương,,(i),USD,-,,,,
▪ Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Nam Bình Dương,▪ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Bình Dương > ▪ Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Nam Bình Dương,▪ Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Nam Bình Dương,,(ii),VND,1.100.416.059.001,,,,1100416059001.0
▪ Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Nam Bình Dương,▪ Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Nam Bình Dương,▪ Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Nam Bình Dương,,(ii),USD,-,,,,
▪ Ngân hàng TNHH MTV HSBC (Việt Nam),▪ Ngân hàng TNHH MTV HSBC (Việt Nam),▪ Ngân hàng TNHH MTV HSBC (Việt Nam),,(iii),VND,-,,,,
▪ Ngân hàng TNHH MTV UOB Việt Nam,▪ Ngân hàng TNHH MTV UOB Việt Nam,▪ Ngân hàng TNHH MTV UOB Việt Nam,,(iv),VND,-,,,,
▪ Ngân Hàng Đại Chứng TNHH Kasikornbank - Chi Nhánh Thành Phố Hồ Chí Minh,▪ Ngân hàng TNHH MTV UOB Việt Nam > ▪ Ngân Hàng Đại Chứng TNHH Kasikornbank - Chi Nhánh Thành Phố Hồ Chí Minh,▪ Ngân Hàng Đại Chứng TNHH Kasikornbank - Chi Nhánh Thành Phố Hồ Chí Minh,,(v),VND,177.770.837.441,,,,177770837441.0
,,,,,,2.903.786.802.438,,,,2903786802438.0
