row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2023VND,30/9/2022VND,,
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,595.641.447.118,800.829.008.111,595641447118.0,800829008111.0
Chi phí xuất khẩu,Chi phí xuất khẩu,Chi phí xuất khẩu,734.588.143.602,1.788.319.799.615,734588143602.0,1788319799615.0
Chi phí thuê,Chi phí thuê,Chi phí thuê,184.212.620.724,191.267.820.840,184212620724.0,191267820840.0
Chi phí khấu hao và phân bổ,Chi phí khấu hao và phân bổ,Chi phí khấu hao và phân bổ,178.504.610.026,143.706.365.940,178504610026.0,143706365940.0
Chi phí vận chuyển,Chi phí vận chuyển,Chi phí vận chuyển,122.664.976.847,192.663.313.546,122664976847.0,192663313546.0
Chi phí quảng cáo,Chi phí quảng cáo,Chi phí quảng cáo,70.351.232.208,94.421.008.749,70351232208.0,94421008749.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,70.115.142.722,70.052.660.275,70115142722.0,70052660275.0
Chi phí bán hàng khác,Chi phí bán hàng khác,Chi phí bán hàng khác,165.751.421.952,187.899.547.586,165751421952.0,187899547586.0
,,,2.121.829.595.199,3.469.159.524.662,2121829595199.0,3469159524662.0
