row_label_raw,row_label_full,col_0,Giá gốc/Số có khả năng trả nợ,Giá gốc/Số có khả năng trả nợ_1,numeric__Giá gốc/Số có khả năng trả nợ,numeric__Giá gốc/Số có khả năng trả nợ_1
,,,30/9/2023VND,1/10/2022VND,,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Công ty TNHH Một Thành Viên Hoa Sen Bình Định,Các công ty con > Công ty TNHH Một Thành Viên Hoa Sen Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Bình Định,334.337.182.195,458.751.657.862,334337182195.0,458751657862.0
Công ty TNHH Một Thành Viên Hoa Sen Nhon Hội - Bình Định,Các công ty con > Công ty TNHH Một Thành Viên Hoa Sen Nhon Hội - Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Nhon Hội - Bình Định,253.940.389.459,466.964.809.368,253940389459.0,466964809368.0
Công ty TNHH Một Thành Viên Hoa Sen Hà Nam,Các công ty con > Công ty TNHH Một Thành Viên Hoa Sen Hà Nam,Công ty TNHH Một Thành Viên Hoa Sen Hà Nam,111.279.330.138,205.051.386.730,111279330138.0,205051386730.0
Công ty TNHH Một Thành Viên Vật liệu Xây dựng,Công ty TNHH Một Thành Viên Vật liệu Xây dựng,Công ty TNHH Một Thành Viên Vật liệu Xây dựng,Công ty TNHH Một Thành Viên Vật liệu Xây dựng,Công ty TNHH Một Thành Viên Vật liệu Xây dựng,,
Hoa Sen Yên Bái,Công ty TNHH Một Thành Viên Vật liệu Xây dựng > Hoa Sen Yên Bái,Hoa Sen Yên Bái,20.317.701.360,47.205.825.100,20317701360.0,47205825100.0
Công ty Cổ phần Nhựa Hoa Sen,Công ty TNHH Một Thành Viên Vật liệu Xây dựng > Công ty Cổ phần Nhựa Hoa Sen,Công ty Cổ phần Nhựa Hoa Sen,505.888.267,-,505888267.0,
Các công ty thuộc sở hữu của Chủ tịch Công ty,Các công ty thuộc sở hữu của Chủ tịch Công ty,Các công ty thuộc sở hữu của Chủ tịch Công ty,Các công ty thuộc sở hữu của Chủ tịch Công ty,Các công ty thuộc sở hữu của Chủ tịch Công ty,,
Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Các công ty thuộc sở hữu của Chủ tịch Công ty > Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,4.927.051.994,517.408.886,4927051994.0,517408886.0
Công ty TNHH Một Thành Viên Đầu tư Hoa Sen Nghệ An,Các công ty thuộc sở hữu của Chủ tịch Công ty > Công ty TNHH Một Thành Viên Đầu tư Hoa Sen Nghệ An,Công ty TNHH Một Thành Viên Đầu tư Hoa Sen Nghệ An,7.879.921,86.963.661,7879921.0,86963661.0
