row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Năm kết thúc ngày > 30/9/2023 VND,Năm kết thúc ngày > 30/9/2022 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm kết thúc ngày > 30/9/2023 VND,numeric__Năm kết thúc ngày > 30/9/2022 VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,27,52.881.019.564.133,81.450.228.213.277,1.0,27.0,52881019564133.0,81450228213277.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,27,276.256.396.943,260.746.998.178,2.0,27.0,276256396943.0,260746998178.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,27,52.604.763.167.190,81.189.481.215.699,10.0,27.0,52604763167190.0,81189481215699.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,11,28,50.476.627.454.498,77.388.423.409.761,11.0,28.0,50476627454498.0,77388423409761.0
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,2.128.135.712.692,3.801.057.805.338,20.0,,2128135712692.0,3801057805338.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,29,800.850.256.543,425.167.604.879,21.0,29.0,800850256543.0,425167604879.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,30,300.217.604.297,419.889.233.636,22.0,30.0,300217604297.0,419889233636.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,184.694.883.045,176.518.452.634,23.0,,184694883045.0,176518452634.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,31,2.121.829.595.199,3.469.159.524.662,25.0,31.0,2121829595199.0,3469159524662.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,32,242.553.285.595,323.017.357.209,26.0,32.0,242553285595.0,323017357209.0
Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},30,,264.385.484.144,14.159.294.710,30.0,,264385484144.0,14159294710.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,,45.338.320.487,37.281.371.157,31.0,,45338320487.0,37281371157.0
Chi phí khác,Chi phí khác,Chi phí khác,32,,631.991.708,2.028.544.004,32.0,,631991708.0,2028544004.0
Lợi nhuận khác (40 = 31 - 32),Lợi nhuận khác (40 = 31 - 32),Lợi nhuận khác (40 = 31 - 32),40,,44.706.328.779,35.252.827.153,40.0,,44706328779.0,35252827153.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,309.091.812.923,49.412.121.863,50.0,,309091812923.0,49412121863.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,34,1.536.979.754,23.681.645.484,51.0,34.0,1536979754.0,23681645484.0
Chi phí/(lợi ích) thuế TNDN hoãn lại,Chi phí/(lợi ích) thuế TNDN hoãn lại,Chi phí/(lợi ích) thuế TNDN hoãn lại,52,34,59.265.850.625,(22.440.081.065),52.0,34.0,59265850625.0,-22440081065.0
Lợi nhuận thuần sau thuế TNDN (60 = 50 - 51 - 52),Lợi nhuận thuần sau thuế TNDN (60 = 50 - 51 - 52),Lợi nhuận thuần sau thuế TNDN (60 = 50 - 51 - 52),60,,248.288.982.544,48.170.557.444,60.0,,248288982544.0,48170557444.0
