row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Năm kết thúc ngày > 30/9/2023 VND,Năm kết thúc ngày > 30/9/2022 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm kết thúc ngày > 30/9/2023 VND,numeric__Năm kết thúc ngày > 30/9/2022 VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,01,,309.091.812.923,49.412.121.863,1.0,,309091812923.0,49412121863.0
Khấu hao và phân bổ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Khấu hao và phân bổ,Khấu hao và phân bổ,02,,296.698.963.838,288.742.037.855,2.0,,296698963838.0,288742037855.0
Các khoản dự phòng,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng,Các khoản dự phòng,03,,(54.798.528.440),112.682.357.532,3.0,,-54798528440.0,112682357532.0
Lãi chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lãi chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lãi chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,,(2.114.003.286),(5.999.777.701),4.0,,-2114003286.0,-5999777701.0
Lãi từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,,(582.268.394.623),(182.386.015.343),5.0,,-582268394623.0,-182386015343.0
Chi phí lãi vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay,Chi phí lãi vay,06,,184.694.883.045,176.518.452.634,6.0,,184694883045.0,176518452634.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,,151.304.733.457,438.969.176.840,8.0,,151304733457.0,438969176840.0
Biến động các khoản phải thu và tài sản khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải thu và tài sản khác,Biến động các khoản phải thu và tài sản khác,09,,455.788.862.582,1.825.657.571.725,9.0,,455788862582.0,1825657571725.0
Biến động hàng tồn kho,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động hàng tồn kho,Biến động hàng tồn kho,10,,(508.889.546.680),3.086.823.027.253,10.0,,-508889546680.0,3086823027253.0
Biến động các khoản phải trả và nợ phải trả khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,,1.544.513.703.402,(3.677.954.974.368),11.0,,1544513703402.0,-3677954974368.0
Biến động chi phí trả trước,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chi phí trả trước,Biến động chi phí trả trước,12,,23.096.871.939,(13.914.683.956),12.0,,23096871939.0,-13914683956.0
,,,,,1.665.814.624.700,1.659.580.117.494,,,1665814624700.0,1659580117494.0
Tiền lãi vay đã trả,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(186.167.929.380),(182.460.644.247),14.0,,-186167929380.0,-182460644247.0
Thuế thu nhập doanh nghiệp đã nộp,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(1.461.479.656),(288.320.745.818),15.0,,-1461479656.0,-288320745818.0
Tiền chi khác cho hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,,(191.696.191.456),(117.030.852.331),17.0,,-191696191456.0,-117030852331.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,1.286.489.024.208,1.071.767.875.098,20.0,,1286489024208.0,1071767875098.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐÀU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐÀU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐÀU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐÀU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐÀU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐÀU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐÀU TƯ,,,,
"Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐÀU TƯ > Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác",21,,(178.762.599.745),(328.785.899.096),21.0,,-178762599745.0,-328785899096.0
Tiền thu từ thanh lý tài sản cố định,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐÀU TƯ > Tiền thu từ thanh lý tài sản cố định,Tiền thu từ thanh lý tài sản cố định,22,,33.972.301.805,24.389.427.659,22.0,,33972301805.0,24389427659.0
Tiền chi cho vay và tiền gửi có kỳ hạn,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐÀU TƯ > Tiền chi cho vay và tiền gửi có kỳ hạn,Tiền chi cho vay và tiền gửi có kỳ hạn,23,,(136.060.958.904),(2.700.000.000),23.0,,-136060958904.0,-2700000000.0
Tiền thu hồi từ khoản cho vay và tiền gửi có kỳ hạn,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐÀU TƯ > Tiền thu hồi từ khoản cho vay và tiền gửi có kỳ hạn,Tiền thu hồi từ khoản cho vay và tiền gửi có kỳ hạn,24,,15.000.000.000,-,24.0,,15000000000.0,
Tiền chi đầu tư vào công ty con,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐÀU TƯ > Tiền chi đầu tư vào công ty con,Tiền chi đầu tư vào công ty con,25,,(130.845.602.739),-,25.0,,-130845602739.0,
"Tiền thu lãi tiền gửi, lãi trái phiếu và cổ tức","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐÀU TƯ > Tiền thu lãi tiền gửi, lãi trái phiếu và cổ tức","Tiền thu lãi tiền gửi, lãi trái phiếu và cổ tức",27,,9.167.953.933,231.166.167.254,27.0,,9167953933.0,231166167254.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐÀU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,(387.528.905.650),(75.930.304.183),30.0,,-387528905650.0,-75930304183.0
