row_label_raw,row_label_full,col_0,col_1,col_2,col_3,col_4,col_5,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính),numeric__col_1,numeric__col_2,numeric__col_3,numeric__col_4,numeric__col_5,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)
Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,,,,,,
,,,Bên cho vay,Loại tiền,Hạn mức,Lãi suất,Lãi suất,Tài sản đảm bảo,,,,,,
,,,Bên cho vay,Loại tiền,Hạn mức,30/9/2023,1/10/2022,Tài sản đảm bảo,,,,,,
i.,i.,i.,Ngân hàng TMCP Công thương Việt Nam- Chi nhánh KCN Bình Dương,VNDUSD,4.000 tỷ VND,"2,8% - 5,2%-","3,86% - 4,10%2,50%","Quyền sử dụng đất, nhà cửa, vật kiến trúc, máy móc và thiết bị, các khoản phải thu",,,,,,
ii.,ii.,ii.,Ngân hàng TMCP Ngoại thương Việt Nam- Chi nhánh Nam Bình Dương,VNDUSD,2.400 tỷ VND,"3,20%-","4,50% - 5,0%-1,60% - 1,90%","Quyền sử dụng đất, máy móc và thiết bị và hàng tồn kho, nhà cửa, vật kiến trúc, các khoản phải thu",,,,,,
iii.,iii.,iii.,Ngân hàng TNHH MTV HSBC (Việt Nam),VND,60 triệu USD,-,"4,30% - 5,0%","Hàng tồn kho, máy móc và thiết bị, quyền sử dụng đất và công trình xây dựng trên đất và một số tài sản cố định của Công ty TNHH Một Thành Viên Hoa Sen Bình Định, một công ty con",,,,,,
iv.,iv.,iv.,Ngân hàng TNHH MTV UOB Việt Nam,VND,23 triệu USD,-,"4,30% - 5,20%",Hàng tồn kho,,,,,,
v.,v.,v.,Ngân Hàng Đại Chứng TNHH Kasikornbank - Chi Nhánh Thành Phố Hồ Chí Minh,VND,10 triệu USD,"2,4% - 2,6%",-,Hàng tồn kho,,,,,,
