row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sảnkhácVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sảnkhácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,774.658.362.424,2.600.845.969.583,320.216.460.166,76.375.572.729,22.210.769.141,3.794.307.134.043,774658362424.0,2600845969583.0,320216460166.0,76375572729.0,22210769141.0,3794307134043.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,598.034.486,7.798.793.891,2.568.536.364,-,9.597.000,10.974.961.741,598034486.0,7798793891.0,2568536364.0,,9597000.0,10974961741.0
Chuyên từ xây dựng cơ bản dở dang,Nguyên giá > Chuyên từ xây dựng cơ bản dở dang,Chuyên từ xây dựng cơ bản dở dang,83.185.510.661,25.430.359.655,3.847.900.311,8.373.081.818,8.130.113.152,128.966.965.597,83185510661.0,25430359655.0,3847900311.0,8373081818.0,8130113152.0,128966965597.0
Chuyên từ tài sản cố định vô hình,Nguyên giá > Chuyên từ tài sản cố định vô hình,Chuyên từ tài sản cố định vô hình,-,-,-,4.986.512.351,-,4.986.512.351,,,,4986512351.0,,4986512351.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(137.900.000),(45.844.170.676),(2.762.515.667),-,-,(48.744.586.343),-137900000.0,-45844170676.0,-2762515667.0,,,-48744586343.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(1.246.719.022),(641.778.842),-,-,-,(1.888.497.864),-1246719022.0,-641778842.0,,,,-1888497864.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,857.057.288.549,2.587.589.173.611,323.870.381.174,89.735.166.898,30.350.479.293,3.888.602.489.525,857057288549.0,2587589173611.0,323870381174.0,89735166898.0,30350479293.0,3888602489525.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,321.215.298.917,2.145.683.170.378,236.097.412.843,55.019.104.849,21.783.394.234,2.779.798.381.221,321215298917.0,2145683170378.0,236097412843.0,55019104849.0,21783394234.0,2779798381221.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,70.967.015.774,167.501.416.827,32.710.797.616,10.299.942.473,1.654.037.433,283.133.210.123,70967015774.0,167501416827.0,32710797616.0,10299942473.0,1654037433.0,283133210123.0
Chuyên từ tài sản cố định vô hình,Giá trị hao mòn lũy kế > Chuyên từ tài sản cố định vô hình,Chuyên từ tài sản cố định vô hình,-,-,-,2.066.858.784,-,2.066.858.784,,,,2066858784.0,,2066858784.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(16.205.477),(21.064.003.607),(2.555.410.619),-,-,(23.635.619.703),-16205477.0,-21064003607.0,-2555410619.0,,,-23635619703.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(1.052.818.994),(450.757.350),-,-,-,(1.503.576.344),-1052818994.0,-450757350.0,,,,-1503576344.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,391.113.290.220,2.291.669.826.248,266.252.799.840,67.385.906.106,23.437.431.667,3.039.859.254.081,391113290220.0,2291669826248.0,266252799840.0,67385906106.0,23437431667.0,3039859254081.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,453.443.063.507,455.162.799.205,84.119.047.323,21.356.467.880,427.374.907,1.014.508.752.822,453443063507.0,455162799205.0,84119047323.0,21356467880.0,427374907.0,1014508752822.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,465.943.998.329,295.919.347.363,57.617.581.334,22.349.260.792,6.913.047.626,848.743.235.444,465943998329.0,295919347363.0,57617581334.0,22349260792.0,6913047626.0,848743235444.0
