row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 10 năm 2021,Số dư tại ngày 1 tháng 10 năm 2021,Số dư tại ngày 1 tháng 10 năm 2021,4.934.818.960.000,157.292.539.068,90.695.201.265,6.135.844.836.973,11.318.651.537.306,4934818960000.0,157292539068.0,90695201265.0,6135844836973.0,11318651537306.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,48.170.557.444,48.170.557.444,,,,48170557444.0,48170557444.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,996.722.900.000,-,-,(996.722.900.000),-,996722900000.0,,,-996722900000.0,
Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,49.008.000.000,-,-,-,49.008.000.000,49008000000.0,,,,49008000000.0
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(172.540.289.352),(172.540.289.352),,,,-172540289352.0,-172540289352.0
Phân bổ vào quỹ khác,Phân bổ vào quỹ khác,Phân bổ vào quỹ khác,-,-,172.965.686.783,(172.965.686.783),-,,,172965686783.0,-172965686783.0,
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,(76.161.878.172),-,(76.161.878.172),,,-76161878172.0,,-76161878172.0
Số dư tại ngày 1 tháng 10 năm 2022,Số dư tại ngày 1 tháng 10 năm 2022,Số dư tại ngày 1 tháng 10 năm 2022,5.980.549.860.000,157.292.539.068,187.499.009.876,4.841.786.518.282,11.167.127.927.226,5980549860000.0,157292539068.0,187499009876.0,4841786518282.0,11167127927226.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,248.288.982.544,248.288.982.544,,,,248288982544.0,248288982544.0
Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),179.273.230.000,-,-,(179.273.230.000),-,179273230000.0,,,-179273230000.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(10.053.653.206),(10.053.653.206),,,,-10053653206.0,-10053653206.0
Phân bổ vào quỹ khác (ii),Phân bổ vào quỹ khác (ii),Phân bổ vào quỹ khác (ii),-,-,13.823.773.157,(13.823.773.157),-,,,13823773157.0,-13823773157.0,
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,(123.412.286.089),-,(123.412.286.089),,,-123412286089.0,,-123412286089.0
Số dư tại ngày 30 tháng 9 năm 2023,Số dư tại ngày 30 tháng 9 năm 2023,Số dư tại ngày 30 tháng 9 năm 2023,6.159.823.090.000,157.292.539.068,77.910.496.944,4.886.924.844.463,11.281.950.970.475,6159823090000.0,157292539068.0,77910496944.0,4886924844463.0,11281950970475.0
