row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,"Phần mềm, bản quyền VND",Tổng cộng VND,numeric__Quyền sử dụng đất VND,"numeric__Phần mềm, bản quyền VND",numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,57.754.517.947,102.183.237.675,159.937.755.622,57754517947.0,102183237675.0,159937755622.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,725.603.000,725.603.000,,725603000.0,725603000.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,57.754.517.947,102.908.840.675,160.663.358.622,57754517947.0,102908840675.0,160663358622.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2021,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,-,(45.948.342.757),(45.948.342.757),,-45948342757.0,-45948342757.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(18.052.242.209),(18.052.242.209),,-18052242209.0,-18052242209.0
Tại ngày 31 tháng 12 năm 2021,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,-,(64.000.584.966),(64.000.584.966),,-64000584966.0,-64000584966.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,57.754.517.947,56.234.894.918,113.989.412.865,57754517947.0,56234894918.0,113989412865.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,57.754.517.947,38.908.255.709,96.662.773.656,57754517947.0,38908255709.0,96662773656.0
